city,city_type,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,population_2020,population_source,overall_rating,overall_ranking,smartcity_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Nuremberg,normal city,N/A,N/A,N/A,N/A,545000,Population.City,N/A,N/A,N/A,11/14/2020,645002,901,81,2,0,1,107,50,131,131,37,81,0,0,131,1576,171,99,131,81,0,0,3,63,3,3,15,3,3,3,3,96,5,1570,806,3,3,29229,29229,21851,5,0,0,1697,918,0,0,12442,12442,1,1,1,1,1,0,61,31,4129,3723,3717,3752,29,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,3,3,3,23,4,4,4,0,23,23,26,23,30,45,5,0,869,869,888,887,887,854,4239,12453,21495,131,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,6,212,18486,10,18665,0,0,3826,34,4328,522,3828,3769,386,389,33,44,105,44,33,1907,1921,1921,1920,1920,881,33,33,908,0,0,0,0,0,0,0,0,94,17,19821,0,0,29269,191,106,10619,10619,10619,32336,19304,7,525,2163,153,2127,37,0,0,0,19630,33,2179,1128,30855,0,0,0,0,0,375,379,382,1970,1970,935,1661,3593,155,155,155,155,155,155,155,217,2367,1,1,3845,0,0,0,0,0,3,51,279,13,33,83,0,36,6,1613,27805,27806,27806,8022,6893,37755,74,0,25,655,0,3,102,0,0,555,555,870,959,959,959,85,74,0,0,12,370,48,431,0,0,0,765,0,655,1,584,4397,3813,1,1,0,3,219,219,219,0,0,0,0,71,71,4,72,2268,3,0,0,0,0,0,0,153,7,3330,3330,1469,3329,3329,28,868,4578,4579,4579,717,4579,1112,0,0,0,0,171,45,0,0,152,0,12
Oklahoma City,normal city,N/A,N/A,N/A,N/A,655000,World Population Review,N/A,N/A,N/A,11/14/2020,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omsk,normal city,N/A,N/A,N/A,N/A,1182000,World Population Review,N/A,N/A,N/A,11/14/2020,18617,4,2,0,1,0,5,2,5,5,3,3,0,0,5,35,6,6,5,3,0,0,0,2,0,0,0,0,0,0,0,7,0,35,31,0,0,349,349,219,0,0,0,344,4,0,0,624,624,0,0,0,0,0,0,1,1,62,31,31,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,3,27,0,0,31,31,39,31,31,31,96,624,716,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,3,298,1,305,0,0,32,0,39,2,32,30,7,7,0,2,3,2,0,348,348,348,348,348,31,0,0,39,0,0,0,0,0,0,0,0,2,0,212,0,0,349,6,3,38,38,38,768,210,0,26,367,7,365,0,0,0,0,146,0,366,12,367,0,0,0,0,0,242,7,7,359,359,38,347,382,3,3,3,3,3,3,3,9,368,0,0,39,0,0,0,0,0,0,4,8,0,7,4,0,0,0,15,273,273,273,60,48,415,122,0,0,4,0,0,14,0,0,18,18,24,25,25,25,0,8,0,0,0,8,1,9,0,0,0,6,0,4,0,5,48,43,0,0,0,0,9,9,9,0,0,0,0,8,8,0,8,369,0,0,0,0,0,0,0,3,0,382,382,27,382,382,1,32,394,394,394,23,394,16,0,0,0,0,3,308,0,0,0,0,53
Orlando,normal city,N/A,N/A,N/A,N/A,1964000,macrotrends,N/A,N/A,N/A,11/14/2020,53860,23,18,0,0,0,23,12,23,23,12,11,0,0,23,40,24,11,23,11,0,0,1,17,1,1,2,1,1,1,1,11,0,39,35,0,0,1053,1052,970,0,0,0,900,23,0,0,1742,1742,0,0,0,0,0,0,9,3,367,145,144,150,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,10,107,0,0,37,37,44,38,38,36,91,1739,2225,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,11,879,1,972,0,0,155,6,167,17,155,151,252,252,5,18,21,18,0,913,915,915,915,915,37,0,0,46,0,0,0,0,0,0,0,0,1,1,604,0,0,1044,14,23,157,157,157,2475,544,1,47,945,12,936,6,0,0,0,593,0,940,49,1162,0,0,0,0,0,826,250,250,914,914,104,900,972,29,29,29,29,29,29,29,41,945,0,0,155,0,0,0,0,0,0,47,14,0,6,7,0,25,0,64,738,738,738,134,85,1247,68,0,0,595,0,0,19,0,0,11,11,31,31,31,31,13,11,0,0,4,249,2,252,0,0,0,15,0,599,0,23,173,150,8,8,0,0,41,41,41,0,0,0,0,11,11,0,11,940,0,0,0,0,0,0,0,30,1,972,972,57,972,972,0,37,1289,1289,1289,30,1289,35,0,0,0,0,31,23,0,0,16,0,5
Panama City,normal city,N/A,N/A,N/A,N/A,1860000,World Population Review,N/A,N/A,N/A,11/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perm,normal city,N/A,N/A,N/A,N/A,1071000,World Population Review,N/A,N/A,N/A,11/14/2020,14888,6,0,0,0,0,5,3,5,5,4,2,0,0,5,16,3,4,5,2,0,0,0,0,0,0,0,0,0,0,0,4,0,16,2,0,0,368,368,296,0,0,0,166,6,0,0,346,346,0,0,0,0,0,0,3,1,76,51,51,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,3,3,5,3,3,2,49,346,461,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,7,266,0,277,0,0,57,1,60,3,57,55,226,226,1,0,0,0,0,172,186,186,186,186,3,0,0,6,0,0,0,0,0,0,0,0,1,0,224,0,0,371,2,0,90,90,90,566,215,0,38,201,7,200,2,0,0,0,198,0,200,13,395,0,0,0,0,0,295,226,226,194,194,55,168,232,1,1,1,1,1,1,1,9,200,0,0,58,0,0,0,0,0,0,9,10,0,0,6,0,2,0,15,299,300,300,74,61,458,155,0,0,3,0,0,5,0,0,41,41,43,46,46,46,0,3,0,0,0,227,2,228,0,0,0,3,1,3,0,4,63,59,0,0,0,0,9,9,9,0,0,0,0,3,3,0,3,202,0,0,0,0,0,0,0,1,0,210,210,34,210,210,1,3,245,245,245,41,245,46,0,0,0,0,1,62,0,0,0,0,4
Pittsburgh,normal city,N/A,N/A,N/A,N/A,1704000,macrotrends,N/A,N/A,N/A,11/14/2020,27133,0,11,1,0,0,16,3,19,19,11,16,0,0,19,17,6,18,19,16,0,0,0,10,0,0,1,0,0,0,0,3,0,17,9,0,0,572,572,371,0,0,0,374,0,0,0,429,429,0,0,0,0,0,0,16,15,85,70,70,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,11,117,0,0,13,13,13,13,13,12,79,432,632,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20,448,1,459,0,0,76,0,84,8,76,72,892,893,0,10,11,10,1,378,378,378,378,378,13,1,1,13,0,0,0,0,0,0,0,0,2,0,353,0,0,578,7,12,113,113,113,761,332,0,42,392,20,387,0,0,0,0,271,1,388,17,628,0,0,0,0,0,367,884,885,375,375,61,347,404,12,12,12,12,12,12,12,46,390,0,0,77,0,0,0,0,0,0,3,25,1,4,21,0,37,0,28,435,435,435,80,63,693,18,0,0,0,0,0,17,0,0,20,20,31,33,33,33,208,9,0,0,0,885,0,886,0,0,0,0,0,0,0,11,93,82,11,11,0,0,46,46,46,0,0,0,0,8,8,1,9,382,0,0,0,0,0,0,0,12,0,397,397,43,398,398,1,13,415,415,415,27,415,34,0,0,0,0,12,13,0,0,2,0,0
Portland,normal city,N/A,N/A,N/A,N/A,664000,World Population Review,N/A,N/A,N/A,11/14/2020,106824,11,6,1,0,0,210,202,211,211,8,9,0,0,211,9,19,10,212,9,0,0,0,6,0,0,1,0,0,0,0,29,0,9,5,0,0,1611,1611,5448,0,0,0,829,11,0,0,1227,1228,0,0,0,0,0,0,8,4,127,87,85,90,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,7,56,0,0,8,8,26,8,8,8,131,1230,1727,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,15,1344,0,1392,0,0,105,4,139,37,104,94,7835,8319,0,5,6,5,0,932,932,933,933,933,8,0,0,36,0,0,0,0,0,0,0,0,2,0,1108,0,0,1620,9,6,222,222,222,2008,1080,1,95,979,11,964,5,0,0,0,3715,0,969,36,1687,0,0,0,0,0,1323,7811,8293,954,954,401,908,1079,7,7,7,7,7,7,7,44,974,0,0,106,0,0,0,0,0,0,13,22,0,2,19,0,34,0,70,1265,1265,1265,163,127,1816,36,0,0,4,0,0,13,0,0,69,69,80,93,93,93,42,9,0,0,0,547,0,8299,0,0,0,6,0,13,0,40,141,101,10,10,0,0,44,44,44,0,0,0,0,8,8,0,9,974,0,0,0,0,0,0,0,8,0,1039,1039,101,1039,1039,0,9,1553,1553,1553,52,1553,91,0,0,0,0,8,19,0,0,0,0,1
Pretoria,normal city,N/A,N/A,N/A,N/A,2565000,World Population Review,N/A,N/A,N/A,11/14/2020,19148,11,4,0,0,0,12,2,13,13,8,11,0,0,13,13,0,12,13,11,0,0,1,4,1,1,1,1,1,1,1,19,0,12,8,0,0,620,620,312,0,0,0,182,12,0,0,344,344,0,0,0,0,0,0,29,7,135,119,119,119,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,9,9,26,10,10,8,39,347,631,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,421,3,484,0,0,122,0,183,62,122,120,19,19,2,1,4,1,1,196,197,197,197,197,10,1,1,29,0,0,0,0,0,0,0,0,1,1,328,0,0,621,5,4,162,162,162,858,318,0,33,205,19,197,6,0,0,0,191,1,197,18,634,0,0,0,0,0,1710,18,18,188,188,61,162,221,6,6,6,6,6,6,6,12,202,0,0,122,0,0,0,0,0,0,8,25,0,0,1,0,12,0,75,404,404,404,82,64,702,101,0,0,2,0,0,3,0,0,24,24,36,39,39,39,8,2,2,0,1,16,0,18,0,0,0,0,0,2,0,61,180,119,0,0,0,0,13,13,13,0,0,0,0,2,2,0,2,201,0,0,0,0,0,0,0,6,0,213,213,41,213,213,1,10,251,251,251,28,251,30,0,0,0,0,6,42,0,0,7,0,1
Qingdao,normal city,N/A,N/A,N/A,N/A,5619000,World Population Review,N/A,N/A,N/A,11/14/2020,338567,84,34,0,1,0,251,139,313,313,90,174,0,0,313,19,168,202,313,174,0,0,2,32,2,2,6,2,2,2,2,10,0,19,7,0,0,2103,2103,2105,0,0,0,11902,100,0,0,2446,2446,0,0,0,0,0,1,325,114,969,533,533,544,84,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,7,7,7,7,84,790,4,0,11,11,18,12,12,12,85,2450,3473,314,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,201,20,200,1925,4,2008,0,0,583,11,612,47,583,549,31,31,2,24,40,24,1,12058,12064,12064,12064,12063,12,1,1,18,0,0,0,0,0,0,0,0,5,19,917,0,0,2115,64,39,106,106,106,3678,824,0,401,12150,249,12072,15,0,0,0,1365,1,12095,59,2244,0,0,0,0,0,346,30,30,12016,12015,1102,11709,12360,43,43,43,43,43,43,43,21,12138,0,0,579,0,0,0,0,0,0,78,304,1,7,54,0,2,1,201,1030,1030,1030,114,55,2303,208,0,0,11,0,0,14,0,0,293,293,424,443,443,443,0,10,0,0,0,23,0,30,0,0,0,1,0,11,0,170,738,568,0,0,2,0,22,22,22,0,0,0,0,10,10,0,10,12123,0,0,0,0,0,0,0,43,5,12321,12322,529,12323,12324,7,12,12509,12510,12510,338,12511,407,0,0,0,0,51,0,0,0,456,0,0
Quito,normal city,N/A,N/A,N/A,N/A,1873000,World Population Review,N/A,N/A,N/A,11/14/2020,39297,0,17,2,0,7,17,10,18,18,8,8,0,0,18,62,4,10,18,8,0,0,1,15,1,1,8,1,1,1,1,42,1,62,29,0,0,1017,1017,454,1,0,0,663,0,0,0,800,800,7,7,7,7,7,0,36,23,466,312,312,314,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,7,24,0,0,45,45,70,48,48,35,55,801,1479,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,127,0,24,895,5,903,0,0,336,2,369,29,336,321,30,31,5,10,18,10,6,681,683,683,683,683,49,6,6,73,0,0,0,0,0,0,0,0,0,2,321,0,0,1013,11,19,106,106,106,1602,281,0,47,701,17,692,2,0,0,0,261,5,703,72,1131,0,0,0,0,0,203,30,31,687,687,115,654,801,24,24,24,24,24,24,24,5,718,7,7,337,0,0,0,0,0,0,0,25,1,2,24,0,2,0,93,424,424,424,96,24,1157,109,0,3,0,0,0,3,0,0,39,38,55,63,63,63,1,2,0,0,0,16,1,32,0,0,0,1,0,0,0,38,372,334,4,4,0,0,5,5,5,0,0,0,0,2,2,0,2,706,0,0,0,0,0,0,0,23,0,769,769,92,769,769,0,45,807,808,808,47,808,65,0,0,0,0,23,26,0,0,3,0,3
Reading,normal city,N/A,N/A,N/A,N/A,342000,World Population Review,N/A,N/A,N/A,11/14/2020,25866,9,7,0,0,0,11,3,13,13,8,10,0,0,13,43,11,11,13,10,0,0,0,4,0,0,1,0,0,0,0,10,0,43,25,0,0,821,821,1012,0,0,0,254,8,0,0,527,527,0,0,0,0,0,0,15,7,126,98,97,101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,8,8,6,28,0,0,32,32,34,32,32,29,103,530,801,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,577,0,610,0,0,105,3,113,13,104,101,8,11,0,3,12,3,2,268,269,269,269,269,32,2,2,36,0,0,0,0,0,0,0,0,3,0,515,0,0,818,6,15,219,219,219,1055,496,0,50,304,12,298,4,0,0,0,836,2,298,19,861,0,0,0,0,0,352,8,11,293,293,107,272,387,15,15,15,15,15,15,15,7,312,0,0,104,0,0,0,0,0,0,9,21,0,8,10,0,29,0,29,616,616,616,100,81,945,38,0,0,9,0,0,21,0,0,33,33,41,57,57,57,12,19,0,0,0,10,0,11,0,0,0,178,0,11,0,16,121,105,3,3,0,0,7,7,7,0,0,0,0,19,19,0,19,305,0,0,0,0,0,0,0,15,1,375,375,81,375,375,0,32,447,447,447,38,447,67,0,0,0,0,17,6,0,0,12,0,0
Recife,normal city,N/A,N/A,N/A,N/A,4127000,World Population Review,N/A,N/A,N/A,11/14/2020,70233,4,11,1,0,1,12,7,12,12,4,5,0,0,12,89,3,6,12,5,0,0,0,11,0,0,3,0,0,0,0,13,0,87,73,0,0,1846,1846,296,0,0,0,1489,4,0,0,1750,1750,1,1,1,1,1,0,14,8,144,93,93,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,7,3,3,3,0,4,4,4,4,5,39,0,0,78,78,87,81,81,79,1152,1749,2023,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,1773,7,1774,0,0,108,1,181,10,108,102,10,10,0,10,11,10,28,1505,1505,1505,1505,1505,79,28,28,90,0,0,0,0,0,0,0,0,0,0,1428,0,0,1846,3,11,70,70,70,2103,1415,0,29,1514,15,1468,6,0,0,0,197,26,1469,27,1851,0,0,0,0,0,451,10,10,1464,1464,43,1443,1490,11,11,11,11,11,11,11,6,1475,1,1,169,0,0,0,0,0,0,0,20,3,4,13,0,0,3,32,1467,1467,1467,77,50,1903,115,0,23,0,0,0,8,0,0,25,25,29,33,33,33,4,5,0,0,0,5,2,12,0,0,0,3,0,0,0,12,181,169,3,3,0,0,6,6,6,0,0,0,0,5,5,0,5,1478,0,0,0,0,0,0,0,11,0,1495,1495,41,1495,1495,0,78,1578,1577,1577,27,1578,30,0,0,0,0,11,21,0,0,24,0,2
Rosario,normal city,N/A,N/A,N/A,N/A,1532000,World Population Review,N/A,N/A,N/A,11/14/2020,102530,236,20,1,0,1,14,8,14,14,6,6,0,0,14,80,31,9,14,6,0,0,0,19,0,0,3,0,0,0,0,28,0,77,54,0,0,2014,2014,440,0,0,0,1187,238,1,0,1760,1760,1,1,1,1,1,0,13,7,678,255,255,256,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,6,42,0,0,62,62,74,66,66,62,179,1763,2491,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,16,1608,14,1613,0,0,260,1,273,16,260,257,36,36,2,14,22,14,2,1191,1192,1192,1192,1192,63,2,2,84,0,0,0,0,0,0,0,0,2,0,1122,0,0,2017,75,23,402,402,402,2915,1109,0,110,1277,23,1266,3,0,0,0,270,2,1266,14,2039,0,0,0,0,0,521,36,36,1002,1002,192,972,1136,25,25,25,25,25,25,25,6,1275,1,1,264,0,0,0,0,0,0,466,31,1,2,8,0,0,0,27,1236,1236,1237,110,96,2139,173,0,1,22,0,0,10,0,0,30,30,106,112,112,112,2,8,0,0,0,36,1,39,0,0,0,6,0,22,0,23,289,266,8,8,0,0,6,6,6,0,0,0,0,8,8,2,8,1269,0,0,0,0,0,0,0,25,0,1310,1310,140,1310,1310,0,63,9789,9789,9789,100,9789,63,0,0,0,0,25,12,0,0,8,0,0
Rustenburg,normal city,N/A,N/A,N/A,N/A,509000,World Population Review,N/A,N/A,N/A,11/14/2020,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,11,0,0,0,8,0,0,0,13,13,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,15,0,0,3,0,4,1,3,3,0,0,0,0,0,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,25,0,0,10,10,10,33,14,0,0,8,0,8,0,0,0,0,5,0,8,0,25,0,0,0,0,0,414,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,20,6,6,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,0,8,8,8,0,8,0,0,0,0,0,0,1,0,0,0,0,0
