city,population_2020,population_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Charlotte,905318,World Population Review,10/27/2020,77766,11,8,1,0,1,14,11,15,15,5,4,0,0,15,14,29,8,15,4,0,0,0,7,0,0,2,0,0,0,0,4,1,14,8,0,0,1323,1323,2008,1,0,0,690,11,0,0,1258,1258,1,1,1,1,1,0,1,1,159,113,97,113,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,0,8,8,11,8,8,8,71,1258,1777,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,11,1175,246,1234,0,0,121,16,142,35,121,121,1498,6321,1,4,9,4,0,689,689,689,689,689,9,0,0,13,0,0,0,0,0,0,0,0,1,0,771,0,0,"1,330",5,9,145,145,145,"2,236",763,0,30,706,9,705,1,0,0,0,"1,553",0,707,33,"1,373",0,0,0,0,0,606,"1,500","6,329",699,699,70,682,982,11,11,11,11,11,11,11,20,934,1,1,121,0,0,0,0,0,0,17,14,1,0,3,0,23,1,49,831,831,831,70,37,1400,29,0,0,45,0,0,3,0,0,260,260,269,275,275,275,10,1,0,0,0,4928,0,6317,0,0,0,4,0,45,0,36,140,104,8,8,0,0,20,20,20,0,0,0,0,1,1,1,1,700,0,0,0,0,0,0,0,12,0,974,974,293,974,974,8,10,1266,1266,1266,263,1266,284,0,0,0,0,12,16,0,0,6,0,0
Cleveland,1763000,MacroTrends,10/27/2020,15875,0,0,0,0,0,8,3,8,8,5,5,0,0,8,6,0,6,8,5,0,0,0,0,0,0,0,0,0,0,0,6,0,5,2,0,0,412,412,289,0,0,0,156,0,0,0,626,626,0,0,0,0,0,0,2,2,73,31,30,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,5,35,0,0,5,5,7,6,6,5,24,625,775,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,337,0,343,0,0,32,0,47,14,32,31,70,197,0,0,0,0,0,159,159,159,159,159,5,0,0,8,0,0,0,0,0,0,0,0,0,0,228,0,0,412,2,0,64,64,64,854,220,0,17,166,10,166,6,0,0,0,193,0,169,31,450,0,0,0,0,0,482,70,197,164,164,54,151,197,0,0,0,0,0,0,0,8,171,0,0,34,0,0,0,0,0,0,3,15,0,1,2,0,27,0,45,277,277,277,45,16,459,20,0,0,1,0,0,7,0,0,12,12,16,27,27,27,7,5,0,0,0,136,0,198,0,0,0,0,0,1,0,30,65,35,2,2,0,0,8,8,8,0,0,0,0,5,5,0,5,173,0,0,0,0,0,0,0,0,0,185,185,27,185,185,0,4,436,436,436,12,436,22,0,0,0,0,0,10,0,0,2,0,1
Colorado Springs,668000,MacroTrends,10/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,922223,World Population Review,10/27/2020,2200751,67,158,12,0,0,675,255,1363,1363,101,1108,0,0,1363,1651,352,2279,1364,1109,0,0,12,111,12,12,61,12,12,12,12,63,17,"1,649",486,0,0,69347,69347,123862,17,0,0,14397,70,15,0,22526,22527,0,0,0,0,0,0,191,122,13383,13435,13430,13498,84,6,6,6,6,6,6,6,0,0,0,0,0,0,10,6,6,6,6,6,6,6,0,0,15,51,16,15,15,0,45,45,45,45,126,79,3,0,508,508,538,535,535,520,2461,22562,32644,1367,45,0,0,0,0,0,0,0,3,3,3,3,3,3,3,243,4,8692,30577,87,35575,0,0,13769,68,15065,1349,13769,13682,12423,12429,139,86,401,86,36,17402,17587,"17,589",17590,17591,537,36,36,557,0,0,0,0,0,0,0,0,171,61,61952,0,0,"69,524",352,451,"37,094","37,094","37,095","74,931","60,067",24,"7,775","20,159","3,027","20,160",57,0,0,0,"123,033",36,"22,442","3,169","76,041",0,0,0,0,0,"1,267","12,457","12,462","22,033","22,034","11,200",12670,30893,629,629,629,629,629,629,629,553,22993,0,0,13772,0,0,0,0,0,8,39,4904,91,67,1307,0,23,79,4413,67818,67820,67822,5910,2747,78511,619,0,31,46,0,0,425,0,0,4493,4493,6692,7702,7701,7701,38,343,6,0,86,4515,1,12374,0,0,0,41,0,51,0,1470,15247,13777,6,7,6,0,558,558,558,0,0,0,0,272,272,98,329,22449,0,0,0,0,0,0,0,633,28,27353,27356,14573,27359,27364,38,534,29946,29948,29949,4358,29950,12346,0,0,0,0,701,31,1,1,90,5,26
Comilla,588772,World Population Review,10/27/2020,3203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,16,0,0,0,89,0,0,0,89,89,0,0,0,0,0,0,1,0,10,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,32,0,0,9,0,10,1,9,9,1,1,0,0,0,0,0,89,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,36,2,0,3,3,3,118,20,0,8,91,6,91,1,0,0,0,13,0,91,3,39,0,0,0,0,0,4,1,1,90,90,10,84,93,0,0,0,0,0,0,0,0,92,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,21,21,21,3,0,37,3,0,0,0,0,0,0,0,0,6,6,8,8,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,93,93,9,93,93,0,0,96,96,96,8,96,7,0,0,0,0,0,3,0,0,0,0,1
Dallas,1382270,World Population Review,10/27/2020,768830,305,255,10,0,0,134,81,165,165,74,84,0,0,165,688,268,137,165,84,0,0,5,197,5,5,62,5,5,5,5,351,8,676,233,10,10,23445,23443,27897,8,0,0,5658,311,3,0,18572,18567,0,0,0,0,0,0,49,36,3570,2827,2827,2847,42,3,3,3,3,3,3,3,0,0,0,1,1,0,2,7,7,7,7,7,7,7,1,1,1,22,1,1,1,0,25,25,26,25,44,841,1,0,466,466,567,486,486,409,3809,18555,28086,165,3,0,0,0,0,0,0,0,6,6,6,6,6,6,6,1159,2,208,18245,8,18646,0,0,2903,19,3090,212,2900,2856,20118,20690,24,166,321,166,26,5914,5935,"5,935",5934,5934,474,26,26,596,0,0,0,0,0,0,0,0,78,2,13212,0,0,"23,324",165,323,"4,834","4,834","4,834","33,251","12,893",7,"1,508","7,078",191,"7,079",81,0,0,0,"17,726",26,"7,134",451,"24,184",0,0,0,0,0,"1,334","20,142","20,714","6,928","6,929","2,006",6517,7765,360,360,360,361,361,360,360,134,7211,0,0,2864,0,0,0,0,0,9,303,294,11,45,98,0,44,2,667,15220,15217,15217,2114,1668,25556,242,0,14,3778,0,10,190,0,0,449,449,662,723,723,723,22,120,0,0,6,14167,13,20524,0,0,0,352,1,3815,0,286,3113,2828,11,11,22,10,133,133,133,0,0,0,0,108,108,11,115,7103,10,0,0,0,0,0,0,359,14,7568,7568,974,7566,7566,2,455,9326,9326,9327,601,9330,694,0,0,0,0,384,64,0,0,194,7,15
Delhi,30290936,World Population Review,10/27/2020,66197,2,9,1,0,0,54,18,55,55,37,37,0,0,55,70,10,41,55,37,0,0,0,9,0,0,1,0,0,0,0,26,0,68,27,0,0,1670,1670,2124,0,0,0,913,2,0,0,1185,1185,0,0,0,0,0,0,36,22,451,358,357,364,36,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,1,0,4,4,5,4,37,53,0,0,40,40,52,42,42,32,64,1184,2045,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1,59,1298,6,1331,0,0,388,7,478,98,388,371,33,33,0,6,11,6,0,971,977,977,977,977,40,0,0,54,0,0,0,0,0,0,0,0,6,1,829,0,0,"1,671",80,13,353,352,352,"2,442",797,0,200,"1,116",49,"1,116",332,0,0,0,"1,677",0,"1,126",85,"1,820",0,0,0,0,0,"1,131",34,34,"1,042","1,042",327,973,1226,13,13,13,13,13,13,13,28,1127,0,0,386,0,0,0,0,0,0,0,83,6,9,33,0,4,1,200,970,970,970,131,46,1866,228,0,0,15,0,0,21,0,0,42,42,222,230,230,230,5,18,1,0,0,28,2,36,0,0,0,4,0,15,0,135,521,385,4,4,0,0,28,28,28,0,0,0,0,18,18,0,18,1128,0,0,0,0,0,0,0,13,1,1197,1197,199,1197,1198,2,37,1332,1332,1333,121,1332,113,0,0,0,0,14,205,0,0,36,0,31
Eindhoven,359000,MacroTrends,10/27/2020,154773,91,11,0,0,1,24,10,30,30,14,20,0,0,30,84,35,26,30,20,0,0,0,8,0,0,1,0,0,0,0,18,0,83,38,2,2,7372,7373,4729,0,0,0,524,95,0,0,2670,2671,1,1,1,1,1,0,8,5,1599,1853,1853,1856,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,2,1,1,0,3,3,4,4,12,21,0,0,43,42,46,48,48,43,697,2692,6034,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,50,5642,2,5709,0,0,1892,3,1917,30,1893,1882,52,53,5,6,21,6,9,636,647,647,647,647,47,9,9,56,0,0,0,0,0,0,0,0,4,1,3823,0,0,"7,429",40,25,"1,711","1,711","1,711","7,842","3,795",0,161,698,59,698,8,0,0,0,"4,542",10,721,92,"7,593",0,0,0,0,0,279,52,53,671,671,277,551,927,30,30,30,30,30,30,30,81,755,1,1,1927,0,0,0,0,0,2,29,104,5,8,31,0,14,2,114,4532,4532,4532,657,564,8210,19,0,8,840,0,2,40,0,0,168,168,217,235,235,235,5,33,0,0,2,50,2,55,0,0,0,90,0,841,0,34,1963,1931,2,2,0,2,81,81,81,0,0,0,0,31,31,0,32,744,2,0,0,0,0,0,0,29,1,877,877,290,877,877,4,50,1036,1036,1036,199,1036,212,0,0,0,0,34,3,0,0,5,0,0
Ekaterinburg,1503812,World Population Review,10/27/2020,16699,9,2,0,0,0,3,0,4,4,2,4,0,0,4,10,16,4,4,4,0,0,0,2,0,0,1,0,0,0,0,3,0,10,8,0,0,339,339,753,0,0,0,299,9,0,0,540,540,0,0,0,0,0,0,7,5,117,48,47,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,3,3,3,3,2,10,0,0,8,8,11,8,8,8,50,531,631,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,6,274,0,276,0,0,49,3,51,6,48,47,11,11,0,2,3,2,0,293,293,293,293,293,8,0,0,11,0,0,0,0,0,0,0,0,3,0,152,0,0,326,3,3,58,58,58,673,146,0,12,302,3,301,2,0,0,0,667,0,301,10,344,0,0,0,0,0,575,11,11,293,293,26,285,309,3,3,3,3,3,3,3,5,292,0,0,48,0,0,0,0,0,0,9,6,1,3,2,0,2,1,13,190,190,190,33,24,358,106,0,0,0,0,0,6,0,0,6,6,8,11,11,11,2,4,0,0,0,7,0,10,0,0,0,4,0,0,0,10,54,44,0,0,0,0,5,5,5,0,0,0,0,4,4,0,4,288,0,0,0,0,0,0,0,4,0,296,296,14,295,295,0,7,309,309,309,8,310,11,0,0,0,0,5,63,0,0,1,0,21
Fortaleza,4073465,World Population Review,10/27/2020,120807,6,2,0,0,0,9,5,14,14,1,9,0,0,14,103,14,9,14,9,0,0,0,1,0,0,0,0,0,0,0,29,0,90,73,0,0,3158,3158,1298,0,0,0,2452,6,0,0,4642,4642,0,0,0,0,0,0,10,9,240,122,119,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,73,73,99,92,92,75,1296,4655,"5,114",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,3031,37,"3,045",0,0,133,6,148,21,134,127,16,16,1,1,2,1,29,2468,"2,469","2,469",2469,2469,79,29,29,106,0,0,0,0,0,0,0,0,1,0,1630,0,0,"3,179",4,1,126,126,126,"5,305","1,606",0,21,"2,478",13,"2,478",4,0,0,0,"1,192",29,"2,481",12,"3,219",0,0,0,0,0,626,16,16,"2,478","2,478",46,2462,2520,3,3,3,3,3,3,3,11,2474,0,0,135,0,0,0,0,0,0,0,17,0,0,3,0,1,0,23,1720,1720,1720,87,76,3276,147,0,26,7,0,0,1,0,0,15,15,22,27,27,27,1,0,0,0,0,11,0,16,0,0,0,3,0,7,0,23,155,132,6,6,0,0,11,11,11,0,0,0,0,0,0,0,0,2479,0,0,0,0,0,0,0,3,0,2503,2504,36,2504,2504,0,79,2515,2515,2515,18,2515,26,0,0,0,0,3,37,0,0,21,0,3
Frankfurt am Main,777156,World Population Review,10/27/2020,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,766688,World Population Review,10/27/2020,258740,4,1,0,0,0,12,3,12,12,9,9,0,0,12,11,5,10,12,9,0,0,0,1,0,0,0,0,0,0,0,7,0,11,9,0,0,526,525,1354,0,0,0,10555,4,0,0,407,407,0,0,0,0,0,0,3,2,109,68,69,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,9,32,0,0,8,8,8,8,8,8,46,408,665,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,433,0,448,0,0,75,2,109,21,75,73,236,236,0,0,1,0,0,10567,10568,"10,568",10569,10569,8,0,0,15,0,0,0,0,0,0,0,0,2,0,253,0,0,526,8,1,86,86,86,764,239,0,33,"10,580",10,"10,578",13,0,0,0,"1,230",0,"10,578",29,576,0,0,0,0,0,"1,082",236,236,"10,564","10,564",81,10552,10599,1,1,1,1,1,1,1,47,10546,0,0,89,0,0,0,0,0,0,10,16,0,1,6,0,17,0,47,365,365,365,116,87,655,33,0,0,16,0,0,7,0,0,13,13,22,29,29,29,15,7,0,0,2,233,0,236,0,0,0,3,0,16,0,22,108,86,3,3,0,0,47,47,47,0,0,0,0,6,6,0,6,10543,0,0,0,0,0,0,0,1,2,10561,10561,34,10558,10559,0,8,10592,10590,10590,22,10589,22,0,0,0,0,5,11,0,0,0,0,2
Hefei,4241514,World Population Review,10/27/2020,37832,0,0,0,0,0,34,11,36,36,2,25,0,0,36,17,8,28,36,25,0,0,0,0,0,0,0,0,0,0,0,12,0,16,9,0,0,199,199,5997,0,0,0,633,0,0,0,247,247,0,0,0,0,0,0,37,13,92,64,64,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,128,0,0,10,10,18,14,14,13,12,247,347,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,25,171,2,187,0,0,69,0,71,5,69,65,68,68,0,0,0,0,3,682,685,685,685,685,13,3,3,22,0,0,0,0,0,0,0,0,0,22,113,0,0,200,7,0,13,13,13,378,103,0,175,695,124,695,14,0,0,0,"4,639",3,698,6,218,0,0,0,0,0,403,68,68,684,684,328,520,859,0,0,0,0,0,0,0,6,734,0,0,69,0,0,0,0,0,0,0,131,0,0,4,0,0,0,23,135,135,135,18,12,229,1223,0,2,0,0,0,0,0,0,205,205,221,229,229,229,0,0,0,0,0,64,0,66,0,0,0,1,0,0,0,22,87,65,0,0,1,0,6,6,6,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,854,854,218,854,854,0,11,867,867,867,212,868,188,0,0,0,0,0,1,0,0,48,0,1
Herning,50332,citypopulation.de,10/27/2020,3036,0,1,0,0,0,8,1,8,8,8,7,0,0,8,0,0,7,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,92,92,75,0,0,0,33,0,0,0,90,90,0,0,0,0,0,0,3,2,14,9,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,8,0,0,0,0,0,0,0,0,25,89,117,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,73,2,77,0,0,10,0,11,1,10,9,0,0,0,1,1,1,0,35,35,35,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,90,1,1,16,16,16,139,54,0,11,39,8,39,0,0,0,0,60,0,39,3,96,0,0,0,0,0,35,0,0,37,37,15,29,43,1,1,1,1,1,1,1,2,39,0,0,9,0,0,0,0,0,0,0,10,1,1,1,0,2,1,5,69,69,69,15,12,106,3,0,0,0,0,1,2,0,0,1,1,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,12,9,1,1,0,1,2,2,2,0,0,0,0,2,2,1,2,39,1,0,0,0,0,0,0,1,0,43,43,11,43,43,0,0,50,50,50,2,50,10,0,0,0,0,1,0,0,0,0,0,0
Houston,2340890,World Population Review,10/27/2020,86472,7,11,0,0,0,31,18,37,37,14,19,0,0,37,47,18,20,37,19,0,0,0,10,0,0,1,0,0,0,0,13,0,47,21,1,1,2232,2232,2239,0,0,0,1115,7,0,0,2414,2415,0,0,0,0,0,0,5,3,360,196,193,199,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,14,143,1,0,28,28,30,28,28,25,101,2417,4002,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,38,1901,3,1956,0,0,216,6,295,77,216,205,1225,"1,225",0,5,11,5,2,1142,"1,144","1,144",1144,1144,28,2,2,34,0,0,0,0,0,0,0,0,71,1,641,0,0,"2,231",27,11,286,286,286,"4,360",616,1,79,"1,186",33,"1,186",43,0,0,0,"1,543",2,"1,193",48,"2,334",0,0,0,0,0,"1,577","1,227","1,227","1,155","1,155",193,1106,1261,13,13,13,13,13,13,13,23,1191,0,0,220,0,0,0,0,0,0,24,46,0,2,26,0,99,0,125,1292,1292,1292,649,601,2913,98,0,2,130,0,1,10,0,0,39,39,74,79,79,79,23,7,1,0,6,1091,0,1224,0,0,0,19,0,131,0,88,306,218,24,24,0,1,23,23,23,0,0,0,0,7,7,0,7,1187,1,0,0,0,0,0,0,13,2,1238,1238,108,1238,1238,1,30,1565,1565,1565,67,1565,69,0,0,0,0,16,13,0,0,9,0,0
