country_code,country,population_2020,population_source,gini_value,gini_year,gini_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
CU,Cuba,11327988,Worldometers,0,N/A,N/A,10/25/2020,8226,0,5,0,0,0,3,2,3,3,0,1,0,0,3,4,0,1,3,1,0,0,0,5,0,0,0,0,0,0,0,2,0,4,1,0,0,384,384,42,0,0,0,49,0,0,0,287,284,0,0,0,0,0,0,7,4,34,20,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,3,0,12,0,0,2,2,3,2,2,2,68,284,396,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,316,1,328,0,0,22,1,24,2,22,21,27,27,2,4,6,4,0,49,49,49,49,49,2,0,0,3,0,0,0,0,0,0,0,0,5,0,210,0,0,382,1,6,66,66,66,474,203,0,3,50,2,50,0,0,0,0,35,0,51,11,397,0,0,0,0,0,8,27,27,49,49,19,47,66,9,9,9,9,9,9,9,0,61,0,0,22,0,0,0,0,0,0,3,2,3,7,1,0,0,0,14,262,262,262,52,41,439,6,0,0,0,0,0,16,0,0,16,16,17,17,17,17,0,12,0,0,3,28,3,30,0,0,0,0,0,0,0,5,26,21,0,0,0,0,0,0,0,0,0,0,0,11,11,2,12,51,0,0,0,0,0,0,0,9,0,65,65,15,65,65,0,2,68,68,68,17,68,12,0,0,0,0,11,0,0,0,0,0,0
CV,Cabo Verde,554750,Worldometers,42.4,2015,Index Mundi,10/25/2020,1621,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,22,0,0,0,22,0,0,0,29,28,0,0,0,0,0,0,2,2,10,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,28,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,37,2,37,0,0,8,0,8,0,8,8,0,0,0,0,0,0,0,22,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,48,0,0,11,11,11,59,30,0,9,25,6,25,1,0,0,0,15,0,25,4,52,0,0,0,0,0,21,0,0,25,25,14,16,26,0,0,0,0,0,0,0,0,25,0,0,8,0,0,0,0,0,0,0,6,1,0,0,0,0,1,5,35,35,35,4,0,52,26,0,0,0,0,0,3,0,0,8,8,8,8,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,25,0,0,0,0,0,0,0,0,0,25,25,9,25,25,0,0,26,26,26,8,26,9,0,0,0,0,0,3,0,0,0,0,0
CW,Curacao,163958,Worldometers,0,N/A,N/A,10/25/2020,5269,0,0,0,0,0,14,0,14,14,14,14,0,0,14,3,3,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,128,128,154,0,0,0,58,0,0,0,176,175,0,0,0,0,0,0,1,1,16,6,6,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,14,8,0,0,1,1,1,1,1,1,15,175,204,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,82,0,84,0,0,8,1,81,73,8,8,3,3,0,0,0,0,0,61,61,61,61,61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79,0,0,127,2,0,40,40,40,250,78,0,21,67,15,67,0,0,0,0,74,0,69,4,133,0,0,0,0,0,125,3,3,65,65,30,48,77,0,0,0,0,0,0,0,0,69,0,0,9,0,0,0,0,0,0,1,17,0,1,0,0,6,0,80,89,89,89,9,5,138,24,0,0,11,0,0,5,0,0,3,3,5,5,5,5,2,3,0,0,0,1,1,4,0,0,0,1,0,11,0,78,86,8,3,3,0,0,1,1,1,0,0,0,0,2,2,0,3,68,0,0,0,0,0,0,0,0,0,77,77,24,77,77,0,1,78,78,78,5,78,20,0,0,0,0,0,3,0,0,0,0,1
CX,Christmas Island,2205,livepopulation,0,N/A,N/A,10/25/2020,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,1205577,Worldometers,34,2015,Index Mundi,10/25/2020,49669,64,6,0,0,1,12,8,13,13,10,5,0,0,13,41,29,5,13,5,0,0,0,6,0,0,1,0,0,0,0,16,0,41,13,0,0,1758,1758,1990,0,0,0,489,66,0,0,1055,1051,1,1,1,1,1,0,7,5,308,220,217,223,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,5,5,4,66,0,0,23,23,26,24,24,19,122,1057,1820,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,17,1244,2,1256,0,0,229,3,264,28,226,223,32,32,1,3,7,3,1,521,524,524,525,525,24,1,1,29,0,0,0,0,0,0,0,0,6,0,948,0,0,1762,5,7,502,502,502,2340,938,2,53,551,14,552,5,0,0,0,1657,1,559,70,1852,0,0,0,0,0,940,31,31,535,535,147,501,640,10,10,10,10,10,10,10,22,564,1,1,239,0,0,0,0,0,0,50,25,5,9,12,0,1,1,102,1092,1092,1092,135,64,1920,88,0,1,68,0,0,42,0,0,47,47,64,68,68,68,11,38,0,0,2,22,1,32,0,0,0,7,0,68,0,40,278,238,5,5,0,0,23,23,23,0,0,0,0,31,31,1,38,565,0,0,0,0,0,0,0,10,0,633,633,94,633,633,2,24,757,757,757,55,757,80,0,0,0,0,10,25,0,0,8,0,0
CZ,Czech Republic,10705012,Worldometers,25.9,2015,Index Mundi,10/25/2020,1184528,299,181,4,22,8,371,208,430,430,169,222,0,0,431,652,124,281,431,223,0,0,7,167,7,7,36,7,7,7,7,411,6,635,290,20,20,42893,42893,13627,6,0,0,11984,308,2,0,43902,43666,8,8,8,8,8,0,227,140,7726,3742,3734,3794,118,2,2,2,2,2,2,2,1,1,1,1,1,0,7,2,2,2,2,2,2,2,1,1,1,37,1,1,1,0,39,39,40,39,121,532,4,0,431,431,585,459,459,389,10927,43748,56911,429,9,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4989,6,345,37612,20,37971,0,0,4052,59,4338,342,4049,3827,2047,2369,12,124,223,123,43,12322,12356,12355,12356,12356,443,43,43,715,0,0,0,0,0,0,0,0,1144,32,20666,0,0,42847,194,231,4922,4922,4923,62380,20257,8,886,12734,384,12736,181,0,0,0,9168,44,12842,1189,44554,0,0,0,0,0,24016,2020,2300,12243,12244,2127,11659,13488,257,257,257,257,257,257,258,744,13101,8,8,4082,0,0,0,0,0,1,564,515,19,66,253,0,53,10,1419,30556,30558,30558,9836,8643,53254,979,0,23,110,0,20,233,0,0,816,816,1082,1192,1192,1192,229,144,0,0,12,2254,25,2327,0,0,0,999,0,114,0,467,4497,4031,65,65,3,20,750,751,751,0,0,0,0,130,130,15,144,12875,20,0,0,0,0,0,0,259,7,13576,13577,1360,13575,13573,11,444,14418,14419,14421,1005,14424,865,0,0,0,0,281,293,0,0,88,0,40
DE,Germany,83730223,Worldometers,31.7,2015,Index Mundi,10/25/2020,12396124,6910,6277,77,0,32,3968,1539,4807,4806,1929,3267,9,9,4807,12196,4346,4196,4810,3270,0,9,50,6029,50,51,368,51,51,51,51,2285,57,11923,5386,127,127,499434,499487,293889,57,0,2,77589,7190,18,0,337828,334596,31,31,31,31,31,0,1578,1026,52900,40006,39694,40473,1332,10,10,10,10,10,10,10,6,6,6,29,29,34,51,63,63,63,63,62,62,62,40,40,45,387,60,50,50,0,376,376,417,376,1498,2933,84,0,6396,6396,7375,6875,6876,6061,89231,335828,457590,4787,113,7,2,7,2,4,2,2,32,32,32,32,32,32,32,5466,69,8335,343101,540,348494,4,4,42146,734,47123,5636,42111,41044,51495,54398,399,5662,6889,5663,503,81630,82036,82044,82053,82065,6594,504,504,7827,8,8,8,8,8,8,8,8,2938,152,339743,5,5,498950,3669,7023,151927,151938,151955,618092,334096,57,14972,89203,5506,89232,1259,8,8,8,237728,506,91451,9659,514116,8,5,3,5,5,44710,51165,54102,84174,84179,26732,73381,106711,7516,7517,7518,7520,7521,7525,7525,32893,92191,31,31,42322,8,8,8,8,8,29,4088,7989,266,601,3391,0,1581,151,14592,442256,442299,442338,103511,93809,609435,3745,0,300,4350,0,126,2512,8,2,10087,10088,16338,18429,18431,18431,3899,1892,2,4,222,46529,965,55501,8,0,0,15325,202,4408,0,6639,48528,41892,56,56,7,127,33173,33180,33186,5,5,5,5,1728,1728,192,1863,91629,127,5,5,5,9,5,5,7611,136,102973,102979,23935,102990,102998,168,6594,115495,115509,115524,13009,115544,17492,2,2,0,2,7953,1876,11,11,1504,7,211
DJ,Djibouti,985027,Worldometers,41.6,2017,Index Mundi,10/25/2020,834,0,1,0,0,0,2,0,2,2,2,2,0,0,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,32,5,1,0,0,10,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,22,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24,0,24,0,0,2,0,2,0,2,2,0,0,0,0,1,0,0,9,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,32,0,1,8,8,8,37,26,0,2,10,1,10,0,0,0,0,2,0,9,0,35,0,0,0,0,0,7,0,0,10,10,4,8,10,1,1,1,1,1,1,1,0,10,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,28,28,28,1,1,36,3,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,10,10,2,10,10,0,0,10,10,10,1,10,2,0,0,0,0,1,1,0,0,0,0,2
DK,Denmark,5788108,Worldometers,28.2,2015,Index Mundi,10/25/2020,255124,30,80,16,3,0,112,41,122,122,65,81,0,0,123,42,84,95,123,82,0,0,0,78,0,0,29,0,0,0,0,48,0,39,18,56,56,9299,9300,4705,0,0,0,2117,31,1,0,8887,8819,0,0,0,0,0,0,51,34,1728,1079,1076,1088,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,16,16,16,16,0,0,0,7,0,0,0,0,10,10,10,10,54,576,2,0,23,23,38,28,28,21,1842,8840,12091,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,107,7501,10,7641,0,0,1131,11,1223,107,1130,1096,567,758,10,58,100,58,1,2187,2196,2197,2197,2197,24,1,1,66,0,0,0,0,0,0,0,0,29,5,4985,0,0,9271,36,97,1619,1619,1619,13916,4853,2,324,2386,110,2387,47,0,0,0,3415,1,2398,194,9653,0,0,0,0,0,4166,563,747,2276,2276,897,2130,2972,114,114,114,114,114,114,114,160,2417,0,0,1127,0,0,0,0,0,7,102,148,7,16,104,0,125,2,293,6207,6208,6208,1224,1030,10707,209,0,1,190,0,55,105,0,0,174,174,218,257,257,257,51,84,1,0,7,718,8,760,0,0,0,89,0,190,0,143,1262,1120,45,45,2,55,161,161,161,0,0,0,0,73,73,9,85,2410,55,0,0,0,0,0,0,120,1,2973,2974,688,2975,2976,5,24,3310,3310,3310,199,3310,617,0,0,0,0,123,253,0,0,25,0,9
DM,Dominica,71950,Worldometers,0,N/A,N/A,10/25/2020,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,15,0,0,0,3,0,0,0,14,14,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,15,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0,0,2,2,2,25,7,0,4,7,0,7,0,0,0,0,10,0,7,0,16,0,0,0,0,0,34,0,0,7,7,4,7,7,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,8,1,8,8,0,0,8,8,8,1,8,0,0,0,0,0,0,2,0,0,1,0,0
DO,Dominican Republic,10825682,Worldometers,45.7,2016,Index Mundi,10/25/2020,25900,0,1,0,0,0,12,10,13,13,3,3,0,0,13,161,4,4,13,3,0,0,0,1,0,0,0,0,0,0,0,71,0,155,89,0,0,690,690,360,0,0,0,309,0,0,0,570,558,0,0,0,0,0,0,18,7,213,186,185,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,105,105,126,119,119,107,98,563,902,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,577,13,613,0,0,204,4,286,90,204,194,14,14,0,1,1,1,23,303,308,308,308,308,114,23,23,158,0,0,0,0,0,0,0,0,4,0,337,0,0,690,14,1,75,75,75,1035,322,0,52,326,26,326,5,0,0,0,220,23,327,41,773,0,0,0,0,0,809,14,14,312,312,84,283,346,1,1,1,1,1,1,1,7,328,0,0,204,0,0,0,0,0,0,0,28,0,0,27,0,7,0,118,471,471,471,123,82,856,315,0,18,0,0,0,0,0,0,39,39,56,57,57,57,5,0,0,0,0,9,1,15,0,0,0,0,0,0,0,99,305,207,6,6,1,0,7,7,7,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,1,0,338,338,48,339,339,0,114,373,373,373,53,373,34,0,0,0,0,3,99,0,0,3,0,5
DZ,Algeria,43685618,Worldometers,27.6,2011,Index Mundi,10/25/2020,35071,0,3,0,0,0,23,22,23,23,1,1,0,0,23,24,5,3,23,1,0,0,0,3,0,0,0,0,0,0,0,6,0,23,15,0,0,893,894,292,0,0,0,789,0,0,0,705,687,0,0,0,0,0,0,13,4,118,91,86,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,1,13,0,0,19,19,23,20,20,19,91,691,1085,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,719,6,737,0,0,99,6,126,33,99,95,10,10,0,3,4,3,4,786,787,787,787,787,20,4,4,24,0,0,0,0,0,0,0,0,5,1,450,0,0,893,5,5,153,153,153,1274,442,0,18,798,7,798,2,0,0,0,219,4,802,43,955,0,0,0,0,0,313,10,10,543,543,79,527,608,5,5,5,5,5,5,5,16,790,0,0,99,0,0,0,0,0,0,0,16,0,7,7,0,2,0,60,556,557,557,93,50,1011,100,0,2,2,0,0,8,0,0,21,22,30,49,49,49,0,8,0,0,0,9,0,10,0,0,0,5,0,2,0,40,140,100,0,0,0,0,16,16,16,0,0,0,0,8,8,0,8,795,0,0,0,0,0,0,0,5,1,834,834,39,835,835,0,19,855,856,856,27,856,23,0,0,0,0,7,88,0,0,2,1,30
EC,Ecuador,17587526,Worldometers,44.7,2017,Index Mundi,10/25/2020,146320,1,41,5,0,12,79,41,96,96,37,55,1,1,96,275,26,62,96,55,0,1,1,37,1,1,17,1,1,1,1,162,0,269,123,0,0,3979,3981,2129,0,0,0,1941,1,0,0,2982,2968,12,12,12,12,12,0,102,60,1685,1171,1171,1396,33,2,2,2,2,2,2,2,1,1,1,0,0,0,1,2,2,2,2,2,2,2,0,0,0,9,0,0,0,0,9,9,9,9,36,75,0,0,203,204,279,218,218,151,240,2969,5605,97,6,2,0,2,0,2,0,0,4,4,4,4,4,4,4,300,4,92,3604,23,3629,2,2,1471,229,1587,331,1471,1426,113,114,14,22,45,22,18,1985,2233,2232,2233,2233,213,18,18,294,2,2,2,2,2,2,2,2,2,3,1162,2,2,3989,300,47,348,349,349,6029,1068,0,443,2323,79,2323,10,2,2,2,1415,18,2351,270,4425,2,2,0,2,2,1844,112,113,2005,2005,695,1875,2593,62,62,62,62,62,62,62,6,2369,12,12,1477,2,2,2,2,2,2,1,98,4,10,104,0,2,3,358,1597,1597,1597,405,134,4565,253,0,9,3,0,0,25,2,0,160,160,481,512,512,512,3,21,0,2,2,53,3,117,2,0,0,4,0,3,0,346,1616,1270,9,9,0,0,6,6,6,2,2,2,2,19,19,3,21,2353,0,2,2,2,2,2,2,61,1,2516,2516,559,2516,2517,1,209,2730,2730,2730,449,2732,226,0,0,0,0,65,104,0,0,16,0,17
EE,Estonia,1326357,Worldometers,32.7,2015,Index Mundi,10/25/2020,214579,7953,79,3,1,0,39,21,52,52,23,31,2,2,52,220,42,40,52,31,0,2,0,68,0,0,5,0,0,0,0,94,3,212,130,1,1,4883,4883,6852,3,0,0,2421,8012,0,0,7104,7038,0,0,0,0,0,0,40,17,650,472,475,482,13,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,7,0,0,0,0,7,7,7,7,14,43,0,0,173,173,219,189,189,174,798,7052,8886,52,0,2,0,2,0,0,0,0,1,1,1,1,1,1,1,157,1,58,4171,0,4216,0,0,497,6,545,56,496,484,1572,1816,2,55,89,55,25,2632,2638,2638,2638,2638,183,25,25,240,2,2,2,2,2,2,2,2,7,3,2429,0,0,4878,158,88,680,680,680,9620,2392,1,263,2809,64,2810,9,2,2,2,3476,25,2826,154,5075,2,0,0,0,0,1176,1562,1803,2604,2604,625,2504,3041,94,94,94,93,93,93,93,82,2838,0,0,493,2,2,2,2,2,0,948,261,4,14,24,0,9,0,211,3145,3145,3145,713,559,5638,164,0,7,65,0,1,96,2,0,182,182,353,359,359,359,23,74,0,0,4,374,4,1816,2,0,0,2633,0,65,0,71,562,491,3,3,0,1,82,82,82,0,0,0,0,74,73,1,74,2824,1,0,0,0,2,0,0,93,1,3031,3032,438,3032,3034,1,184,3502,3502,3502,276,3501,263,0,0,0,0,99,32,0,0,12,0,2
EG,Egypt,101930276,Worldometers,31.8,2015,Index Mundi,10/25/2020,59533,1,7,0,0,0,51,28,57,57,25,29,0,0,57,54,17,34,57,29,0,0,0,5,0,0,0,0,0,0,0,81,1,49,27,0,0,1572,1572,1450,1,0,0,649,1,0,0,1634,1618,0,0,0,0,0,0,280,258,556,489,485,507,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,19,202,0,0,36,36,88,42,42,33,85,1620,2222,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,36,1147,14,1210,0,0,527,22,627,108,528,517,49,51,2,4,9,4,3,687,696,696,696,696,37,3,3,109,0,0,0,0,0,0,0,0,7,0,900,0,0,1574,25,10,356,356,356,2673,854,0,91,723,49,723,12,0,0,0,1068,3,725,44,1664,0,0,0,0,0,1185,49,51,671,671,215,615,780,12,12,12,12,12,12,12,9,732,0,0,538,0,0,0,0,0,0,19,59,0,3,46,0,33,0,138,998,998,998,94,50,1728,1076,0,1,3,0,0,11,0,0,76,76,101,107,107,107,16,6,2,0,3,23,0,51,0,0,0,0,0,4,0,133,651,518,7,7,0,0,9,9,9,0,0,0,0,6,6,0,6,733,0,0,0,0,0,0,0,13,0,790,790,145,790,790,4,37,882,882,883,92,884,101,0,0,0,0,13,791,0,0,29,0,146
