smart_city,population_2020,population_source,overall_rating,overall_ranking,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Berlin,3562038,World Population Review,7,39,02/08/2020,247788,107,37,0,0,0,50,19,54,54,28,35,0,0,54,106,118,42,54,35,0,0,0,32,0,0,6,0,0,0,0,60,1,88,48,1,1,9651,9651,4391,1,0,0,1285,111,1,0,7609,7609,0,0,0,0,0,0,35,28,996,631,631,647,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,17,93,1,0,65,65,100,83,83,59,2658,7640,10141,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,58,7718,10,7807,0,0,714,15,801,92,714,665,4157,4162,2,16,54,16,4,1363,1366,1366,1366,1368,66,4,4,110,0,0,0,0,0,0,0,0,9,2,6151,0,0,9743,54,57,1919,1919,1919,12286,6027,0,244,1528,57,1529,31,0,0,0,2835,4,1536,143,10125,0,0,0,0,0,2004,4161,4166,1430,1430,446,1339,1743,59,59,59,59,59,59,59,271,1528,0,0,723,0,0,0,0,0,0,69,90,3,13,98,0,85,0,217,8800,8800,8801,2730,2590,12566,129,0,3,29,0,1,41,0,0,127,127,188,226,226,226,281,33,0,0,4,264,1,4144,0,0,0,194,0,29,0,122,837,715,7,7,1,1,270,270,270,0,0,0,0,30,30,4,33,1515,1,0,0,0,0,0,0,59,1,1680,1681,269,1681,1682,7,65,1909,1909,1909,171,1910,188,0,0,0,0,61,61,0,0,21,0,1
Bilbao,350000,Bilbao,8,9,02/08/2020,10884,1,11,0,0,0,8,2,9,9,8,7,0,0,9,5,8,7,9,7,0,0,0,11,0,0,2,0,0,0,0,2,0,5,2,0,0,318,318,201,0,0,0,146,1,0,0,332,332,0,0,0,0,0,0,4,4,55,26,27,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,4,4,6,5,5,4,51,329,464,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,249,2,251,0,0,29,1,31,3,29,29,2,2,0,11,11,11,2,153,155,155,155,155,5,2,2,6,0,0,0,0,0,0,0,0,0,1,182,0,0,316,3,12,63,63,63,534,174,0,20,166,9,166,0,0,0,0,122,2,168,3,323,0,0,0,0,0,168,2,2,163,163,52,154,175,12,12,12,12,12,12,12,7,169,0,0,28,0,0,0,0,0,0,0,13,1,0,0,0,1,1,5,220,220,220,38,35,356,31,0,0,1,0,0,4,0,0,8,8,11,11,11,11,4,2,0,0,0,2,0,2,0,0,0,2,0,1,0,4,32,28,1,1,0,0,7,7,7,0,0,0,0,2,2,1,2,167,0,0,0,0,0,0,0,12,1,169,169,14,169,169,0,5,186,186,186,9,186,12,0,0,0,0,13,17,0,0,0,0,0
Birmingham,2607437,World Population Review,6,52,02/08/2020,22639,4,2,1,0,1,14,6,14,14,8,8,0,0,14,4,11,9,14,8,0,0,0,2,0,0,1,0,0,0,0,2,0,3,3,0,0,698,699,511,0,0,0,252,4,0,0,460,460,1,1,1,1,1,0,4,3,249,199,196,203,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,50,0,0,3,3,4,4,4,3,49,457,784,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,582,0,603,0,0,213,7,232,26,213,207,6,7,0,1,3,1,0,260,260,260,260,260,3,0,0,5,0,0,0,0,0,0,0,0,0,0,371,0,0,709,5,3,103,103,103,925,355,0,53,299,17,298,2,0,0,0,365,0,300,9,743,0,0,0,0,0,777,6,7,288,288,96,268,318,3,3,3,3,3,3,3,9,301,1,1,212,0,0,0,0,0,0,13,23,0,2,7,0,30,0,29,453,454,454,80,71,814,27,0,0,28,0,0,5,0,0,14,14,20,22,22,22,1,3,1,0,0,6,0,6,0,0,0,9,0,28,0,29,232,203,4,4,0,0,9,9,9,0,0,0,0,3,3,0,3,306,0,0,0,0,0,0,0,3,1,328,328,44,328,328,0,3,365,365,366,19,366,36,0,0,0,0,4,13,0,0,0,0,0
Bogota,10978360,World Population Review,1,98,02/08/2020,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bologna,805986,World Population Review,7,18,02/08/2020,31778,0,5,0,1,0,13,5,13,13,8,8,0,0,13,16,3,10,13,8,0,0,0,4,0,0,0,0,0,0,0,7,0,15,12,0,0,849,849,503,0,0,0,548,0,0,0,677,677,0,0,0,0,0,0,17,15,289,200,193,202,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,0,0,13,13,17,15,15,13,101,675,1186,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,758,1,770,0,0,209,3,217,12,203,202,11,11,0,4,4,4,1,575,575,575,575,575,14,1,1,19,0,0,0,0,0,0,0,0,4,1,311,0,0,860,8,4,92,92,92,1298,302,0,59,612,16,612,0,0,0,0,286,1,612,11,903,0,0,0,0,0,491,11,11,550,551,100,525,575,4,4,4,4,4,4,4,23,596,0,0,207,0,0,0,0,0,0,0,29,0,1,13,0,2,0,20,469,469,470,150,139,1036,22,0,1,1,0,0,10,0,0,11,11,26,30,30,30,6,5,1,0,0,7,0,11,0,0,0,29,0,1,0,20,222,202,1,1,0,0,24,24,24,0,0,0,0,4,4,0,5,604,0,0,0,0,0,0,0,4,0,617,617,38,617,617,0,14,635,635,635,20,634,29,0,0,0,0,6,15,0,0,2,0,0
Boston,710195,World Population Review,7,32,02/08/2020,35017,1,2,0,0,0,7,2,7,7,5,5,0,0,7,12,1,6,7,5,0,0,0,2,0,0,1,0,0,0,0,4,1,12,3,0,0,1709,1709,617,1,0,0,323,1,0,0,523,523,0,0,0,0,0,0,0,0,118,93,93,93,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,5,28,0,0,5,5,7,5,5,4,23,524,1834,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,8,1529,0,1533,0,0,95,0,100,5,95,95,81,996,1,2,3,2,1,332,332,332,332,332,5,1,1,8,0,0,0,0,0,0,0,0,54,1,397,0,0,1706,5,3,172,172,172,2014,388,0,21,345,7,344,3,0,0,0,381,1,346,8,1727,0,0,0,0,0,174,81,999,338,338,37,329,366,4,4,4,4,4,4,4,26,346,0,0,95,0,0,0,0,0,0,1,10,0,3,4,0,7,0,12,420,420,420,26,18,1743,10,0,0,10,0,0,15,0,0,11,11,20,21,21,21,8,12,0,0,0,983,0,987,0,0,0,0,0,10,0,4,99,95,0,0,0,0,26,26,26,0,0,0,0,9,9,2,12,342,0,0,0,0,0,0,0,4,0,358,358,28,358,358,0,5,392,392,392,16,392,13,0,0,0,0,4,3,0,0,1,0,1
Bratislava,433000,MacroTrends,3,84,02/08/2020,51247,59,9,2,0,0,30,8,35,35,21,27,0,0,35,58,17,27,35,27,0,0,0,8,0,0,2,0,0,0,0,58,0,57,11,0,0,1663,1663,1420,0,0,0,462,60,0,0,1843,1843,0,0,0,0,0,0,13,10,380,242,242,247,19,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,47,47,59,48,48,44,289,1841,2487,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,32,1378,0,1395,0,0,252,5,267,20,252,250,32,252,2,7,12,7,3,477,479,479,479,479,49,3,3,70,0,0,0,0,0,0,0,0,0,3,855,0,0,1666,10,12,276,276,276,2784,838,0,79,521,33,521,4,0,0,0,969,3,522,55,1766,0,0,0,0,0,618,32,252,496,495,143,456,550,15,15,15,15,15,15,15,35,523,0,0,255,0,0,0,0,0,0,36,41,5,4,22,0,5,1,71,1202,1202,1202,343,287,2043,73,0,3,7,0,0,13,0,0,29,29,43,43,43,43,15,11,0,0,0,246,2,248,0,0,0,15,0,9,0,29,282,253,7,7,0,0,34,34,34,0,0,0,0,12,12,1,12,518,0,0,0,0,0,0,0,15,0,548,548,66,549,549,1,49,596,596,596,35,596,47,0,0,0,0,17,16,0,0,3,0,4
Brisbane,2406182,World Population Review,7,27,02/08/2020,55022,2,25,1,0,0,64,52,66,66,15,14,0,0,66,33,32,18,66,14,0,0,0,25,0,0,1,0,0,0,0,13,0,31,13,0,0,1621,1621,1312,0,0,0,567,2,0,0,1086,1086,0,0,0,0,0,0,65,60,484,284,281,285,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,2,2,2,2,11,71,3,0,17,17,24,19,19,16,200,1080,1710,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,22,1181,5,1223,0,0,294,4,351,61,294,288,18,18,1,23,28,23,1,598,602,602,602,602,17,1,1,26,0,0,0,0,0,0,0,0,2,3,1020,0,0,1645,11,27,437,437,437,2211,937,1,188,762,22,762,23,0,0,0,986,1,766,84,1841,0,0,0,0,0,1199,18,18,743,743,367,710,880,30,30,30,30,30,30,30,60,771,0,0,295,0,0,0,0,0,0,20,40,0,2,30,0,142,0,140,1298,1298,1298,282,200,2023,77,0,1,113,0,0,14,0,0,43,43,55,60,60,60,25,13,0,0,0,14,1,19,0,0,0,12,0,112,0,69,364,295,7,7,0,0,59,59,59,0,0,0,0,12,12,4,13,767,0,0,0,0,0,0,0,29,1,872,872,81,872,872,0,17,951,951,951,52,951,59,0,0,0,0,31,44,0,0,3,0,1
Brussels,2080788,World Population Review,5,64,02/08/2020,384095,11,64,1,0,0,328,100,416,416,173,316,0,0,416,263,38,358,416,316,0,0,1,55,1,1,4,1,1,1,1,37,1,262,137,0,0,11381,11382,19655,1,0,0,1439,11,0,0,8158,8158,0,0,0,0,0,0,56,42,1044,840,827,844,144,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,2,2,2,13,4,4,4,0,14,14,16,14,185,48,4,0,163,163,164,173,173,156,2878,8170,10766,417,23,0,0,0,0,0,0,0,1,1,1,1,1,1,1,72,4,632,9635,0,9720,0,0,860,9,926,76,853,843,439,943,19,43,97,43,19,1658,1682,1682,1682,1682,174,19,19,183,0,0,0,0,0,0,0,0,32,2,7172,0,0,11422,66,100,1707,1707,1707,12581,7112,2,778,1806,528,1805,72,0,0,0,18568,19,1871,235,11766,0,0,0,0,0,307,440,944,1800,1800,1240,1046,2385,127,126,126,126,126,126,126,22750,2061,0,0,855,0,0,0,0,0,2,11,608,18,22,39,0,15,14,301,8479,8479,8480,1332,1098,12795,57,0,15,44,0,0,116,0,0,514,514,606,649,649,649,13,94,0,0,11,947,14,951,0,0,0,82,0,44,0,101,945,843,1,1,0,0,22512,22514,22516,0,0,0,0,77,77,30,94,1880,0,0,0,0,0,0,0,125,0,2187,2187,1113,2187,2186,1,176,2460,2460,2460,513,2460,878,0,0,0,0,128,31,0,0,16,0,2
Bucharest,1803247,World Population Review,3,85,02/08/2020,132763,34,63,0,1,0,56,26,66,66,38,40,0,0,66,118,166,48,67,41,0,0,2,55,2,2,8,2,2,2,2,85,2,117,63,0,0,3978,3978,3288,2,0,0,1567,35,1,0,3196,3196,0,0,0,0,0,0,42,28,781,580,581,588,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,27,47,0,0,102,102,132,105,105,94,391,3208,5227,69,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,232,2,66,3266,6,3310,0,0,619,7,693,77,619,593,364,379,4,47,87,47,6,1629,1631,1631,1631,1631,105,6,6,151,0,0,0,0,0,0,0,0,10,0,1831,0,0,3990,25,105,682,682,682,5974,1783,0,165,1714,60,1714,12,0,0,0,2130,6,1740,140,4229,0,0,0,0,0,3344,364,379,1683,1683,365,1588,2049,111,111,110,110,110,110,110,147,1746,0,0,628,0,0,0,0,0,0,67,95,4,13,45,0,5,0,209,2446,2446,2446,599,459,4680,112,0,3,343,0,0,32,0,0,86,86,132,151,151,151,31,26,0,0,4,81,0,373,0,0,0,61,0,347,0,99,723,624,37,37,0,0,139,139,139,0,0,0,0,24,24,3,26,1740,0,0,0,0,0,0,0,110,0,2024,2024,395,2024,2025,1,104,2448,2448,2449,122,2448,339,0,0,0,0,110,217,0,0,22,0,39
Budapest,1768073,World Population Review,3,83,02/08/2020,188794,94,41,0,0,1,164,98,177,177,31,78,0,0,177,104,36,94,175,78,0,0,3,38,3,3,5,3,3,3,3,73,2,100,45,4,4,7625,7625,2247,2,0,0,1230,94,0,0,6306,6306,1,1,1,1,1,0,58,34,1334,483,448,496,27,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,26,1,1,1,0,26,26,27,26,28,78,1,0,66,66,99,70,70,64,1509,6312,7960,176,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,62,7,101,5282,0,5912,0,0,543,48,586,98,543,508,83,313,5,28,46,28,7,1286,1288,1288,1288,1288,66,7,7,120,0,0,0,0,0,0,0,0,15,3,5186,0,0,7653,61,50,1792,1792,1793,10412,5100,0,313,1465,118,1465,11,0,0,0,1513,7,1482,120,7921,0,0,0,0,0,3151,82,313,1393,1394,733,1251,1658,56,56,56,56,56,56,56,207,1508,1,1,547,0,0,0,0,0,0,75,148,9,37,68,0,29,6,163,6694,6696,6697,1532,1412,9286,229,0,4,4,0,4,134,0,0,165,165,237,253,254,254,52,104,0,0,1,301,4,313,0,0,0,130,0,4,0,118,621,503,4,4,0,4,204,204,204,0,0,0,0,98,97,17,101,1485,4,0,0,0,0,0,0,57,0,1619,1619,302,1619,1619,0,68,1892,1892,1892,228,1893,197,0,0,0,0,59,180,0,0,11,0,9
Buenos Aires,15153729,World Population Review,3,87,02/08/2020,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Busan,3465190,World Population Review,6,50,02/08/2020,88153,0,7,1,0,0,82,67,93,93,18,26,0,0,93,51,66,26,93,26,0,0,0,5,0,0,1,0,0,0,0,360,0,50,15,0,0,1892,1893,2054,0,0,0,1711,0,0,0,1051,1052,0,0,0,0,0,0,19,12,959,642,638,647,12,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,13,89,0,0,16,16,23,19,19,15,32,1050,2593,93,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,32,1708,3,1738,0,0,659,8,678,27,659,657,21,22,1,3,8,3,4,1743,1745,1746,1746,1746,18,4,4,376,0,0,0,0,0,0,0,0,7,1,469,0,0,1914,6,8,176,176,176,2831,398,0,77,1780,36,1781,34,0,0,0,1597,4,1783,41,2042,0,0,0,0,0,5668,21,22,1708,1708,257,1663,1799,9,9,9,9,9,9,9,31,1774,0,0,661,0,0,0,0,0,0,3,42,0,0,17,0,1,0,59,580,580,580,105,65,2082,627,0,4,0,0,0,0,0,0,71,71,78,82,82,82,8,1,1,0,0,19,0,21,0,0,0,7,0,0,0,33,686,653,0,0,0,0,31,31,31,0,0,0,0,1,1,0,1,1784,0,0,0,0,0,0,0,10,0,1844,1844,105,1844,1844,1,18,1880,1880,1880,57,1880,80,0,0,0,0,10,30,0,0,36,0,0
Cairo,20900604,World Population Review,1,99,02/08/2020,33479,0,2,0,0,0,32,15,32,32,16,17,0,0,32,33,14,20,32,17,0,0,0,1,0,0,0,0,0,0,0,41,1,30,19,0,0,769,769,812,1,0,0,349,0,0,0,1000,1000,0,0,0,0,0,0,257,246,419,394,390,405,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,117,0,0,22,22,54,26,26,23,61,1003,1339,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,590,7,629,0,0,416,15,463,56,416,410,34,35,0,1,2,1,2,370,377,377,377,377,23,2,2,61,0,0,0,0,0,0,0,0,3,0,445,0,0,773,12,2,140,140,140,1530,417,0,44,385,25,385,6,0,0,0,592,2,386,16,829,0,0,0,0,0,856,34,35,364,364,103,336,403,2,2,2,2,2,2,2,7,386,0,0,420,0,0,0,0,0,0,15,32,0,0,24,0,15,0,60,491,492,492,37,22,844,666,0,1,0,0,0,1,0,0,22,22,35,39,39,39,6,0,1,0,0,17,0,34,0,0,0,0,0,0,0,65,469,404,4,4,0,0,5,5,5,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,2,0,405,405,57,405,405,0,22,458,458,458,32,458,39,0,0,0,0,2,470,0,0,15,0,92
Cape Town,4617560,World Population Review,2,93,02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
