smart_city,population_2020,population_source,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,overall_rating,overall_ranking,smartcity_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Moscow,12166000,IMD Smart City Index 2020,56.7,67.5,45.4,73.9,5,56,IMD Smart City Index 2020,11/12/2020,0,1653,124,1,3,0,294,173,373,373,125,200,15,15,373,884,788,268,373,200,1,17,6,103,6,6,23,6,6,6,6,373,4,871,313,19,19,18615,18617,22170,4,2,6,9166,1723,1,0,20571,20574,0,0,0,0,0,0,165,112,3645,2511,2499,2530,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,43,2,2,2,0,43,43,43,43,91,360,6,0,516,516,669,554,554,436,2289,20599,28124,371,18,16,5,16,5,12,5,5,2,2,2,2,2,2,2,2781,6,486,15269,25,16072,10,10,2705,29,2892,217,2705,2542,4078,4082,14,81,161,81,70,9512,9543,9544,9542,9541,541,71,71,721,17,17,17,17,17,17,17,17,267,10,9744,13,12,18643,228,157,2598,2598,2598,31602,9552,3,1214,10189,432,10187,69,17,17,17,14419,71,10331,462,19553,18,12,7,13,13,7764,4086,4089,10007,10008,2576,9109,11900,179,179,179,179,179,179,179,430,10662,0,0,2732,17,17,17,17,17,2,1452,575,17,62,207,5,88,6,710,12253,12254,12254,2396,1930,21500,1776,0,27,356,0,19,199,18,7,1005,1005,1467,1540,1540,1540,45,137,1,13,10,3967,26,4099,18,0,6,834,9,363,1,320,2984,2664,5,5,0,18,424,424,424,13,13,13,13,127,127,9,134,10477,18,13,13,13,18,13,13,179,7,11442,11443,1929,11443,11443,21,535,12671,12671,12671,1181,12671,1509,7,7,2,7,193,1202,2,2,63,0,153
Toronto,5993000,IMD Smart City Index 2020,61.4,58.9,55.5,84.1,7,30,IMD Smart City Index 2020,11/12/2020,0,125,150,9,0,4,130,50,137,137,80,87,0,0,137,417,356,132,137,87,0,0,4,128,4,4,44,4,4,4,4,85,5,415,168,1,1,26694,26693,16198,5,0,0,4281,127,5,0,11816,11817,4,4,4,4,4,0,29,14,3949,2904,2896,2911,73,5,5,5,5,5,5,5,0,0,0,1,1,0,0,4,4,4,4,4,4,4,1,1,1,15,1,1,1,0,16,16,17,16,74,640,0,0,208,208,239,211,211,179,1073,11842,20761,137,2,0,0,0,0,0,0,0,3,3,3,3,3,3,3,814,2,154,15600,4,15737,0,0,2969,13,3211,254,2967,2939,7872,7876,40,92,209,92,13,4421,4438,4438,4439,4439,208,13,13,257,0,0,0,0,0,0,0,0,146,2,17577,0,0,26766,65,220,11011,11013,11013,31995,17378,11,452,4646,185,4645,49,0,0,0,12369,13,4669,482,27620,0,0,0,0,0,2649,7904,7907,4553,4552,800,4281,5388,284,284,284,284,284,284,284,261,4774,4,4,2989,0,0,0,0,0,4,94,258,20,35,137,0,86,6,730,19441,19441,19441,1812,1329,28962,194,0,6,561,0,1,201,0,0,336,336,434,483,483,483,90,152,0,0,18,7510,17,7826,0,0,0,129,0,555,0,288,3197,2909,76,76,1,1,261,261,261,0,0,0,0,141,141,6,149,4691,1,0,0,0,0,0,0,284,10,5274,5275,836,5276,5276,5,209,6168,6170,6172,382,6172,663,0,0,0,0,307,81,0,0,21,3,11
Washington,4955000,IMD Smart City Index 2020,62.3,64.4,62.7,76.1,8,12,IMD Smart City Index 2020,11/12/2020,0,5,60,3,0,2,173,67,218,218,77,151,0,0,218,369,1479,187,218,151,0,0,10,55,10,10,22,10,10,10,10,59,0,369,138,0,0,24943,24943,21423,0,0,0,4070,5,0,0,11251,11252,2,2,2,2,2,0,68,51,5556,5464,5454,5488,64,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,2,2,2,2,2,2,1,1,1,12,3,2,2,0,12,12,13,12,90,68,0,0,177,177,191,186,186,156,1025,11291,24586,218,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,1,394,19456,41,19595,0,0,5583,32,5816,263,5583,5521,3894,3918,16,42,83,41,22,4268,4285,4285,4285,4287,185,22,22,199,0,0,0,0,0,0,0,0,594,5,10954,0,0,25055,89,87,5428,5428,5428,30269,10816,0,541,4468,281,4469,60,0,0,0,16619,22,4555,508,25859,0,0,0,0,0,2186,3915,3937,4468,4468,999,3976,5774,103,103,103,103,103,103,103,6503,4675,2,2,5616,0,0,0,0,0,1,33,364,13,16,107,0,45,13,747,12205,12205,12205,1183,671,26561,202,0,20,51,0,0,140,0,0,447,447,571,677,677,677,237,118,1,0,26,4135,331,4224,0,0,0,24,0,50,0,312,5610,5300,5,5,9,0,6406,6406,6407,0,0,0,0,100,100,26,118,4563,0,0,0,0,0,0,0,102,3,5468,5469,1480,5471,5471,4,182,5850,5850,5850,474,5849,1311,0,0,0,0,113,470,1,1,20,25,11
Osaka,20238000,IMD Smart City Index 2020,36.4,64.9,34.7,66.7,4,80,IMD Smart City Index 2020,11/12/2020,0,7,60,17,0,0,76,41,87,87,25,46,0,0,87,75,136,51,88,46,0,0,1,57,1,1,23,1,1,1,1,73,0,74,30,1,1,10982,10982,12341,0,0,0,10361,7,0,0,4688,4689,0,0,0,0,0,0,117,35,4816,3878,3875,3882,19,1,1,1,1,1,1,1,0,0,0,0,0,0,9,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,20,103,0,0,51,51,71,55,55,44,424,4702,13974,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,81,10465,10,10728,0,0,3958,5,3996,53,3957,3910,1516,1517,15,53,66,53,11,10607,10622,10622,10622,10623,54,11,11,104,0,0,0,0,0,0,0,0,8,1,1710,0,0,11019,28,69,322,322,322,14772,1672,1,274,10793,79,10795,31,0,0,0,10691,11,10812,345,11565,0,0,0,0,0,2935,1516,1517,10564,10565,606,10425,11141,88,88,88,88,88,88,88,397,10888,0,0,3968,0,0,0,0,0,0,2,125,0,1,149,0,1,0,374,2289,2289,2289,555,208,11780,182,0,8,18,0,1,2,0,0,326,326,407,464,464,464,2,1,7,0,7,1404,2,1508,0,0,0,26,0,17,0,74,3967,3893,0,0,0,1,383,383,383,0,0,0,0,1,1,0,1,10540,1,0,0,0,0,0,0,89,1,10855,10857,440,10864,10864,5,52,11328,11331,11332,300,11333,396,0,0,0,0,94,977,0,0,8,0,21
Jakarta,10323000,IMD Smart City Index 2020,70.8,83.5,75.7,63.7,2,94,IMD Smart City Index 2020,11/12/2020,0,26,49,5,0,0,977,918,1032,1032,47,114,1,1,1032,461,92,138,1032,114,0,1,2,41,2,2,12,2,2,2,2,155,1,412,169,0,0,11383,11382,6679,1,0,0,6479,26,0,0,7446,7446,0,0,0,0,0,0,2163,1343,5595,3568,3567,3602,28,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,5,0,0,0,0,5,5,5,5,29,186,4,0,200,200,313,264,264,192,1061,7453,12010,1035,3,1,0,1,0,0,0,0,1,1,1,1,1,1,1,373,2,165,8808,92,8902,0,0,3907,34,4353,217,3905,3696,353,354,9,33,64,33,31,6725,6755,6756,6756,6755,215,31,31,334,1,1,1,1,1,1,1,1,37,5,6874,0,0,11421,156,66,2516,2516,2516,14747,6247,0,502,6949,222,6948,13,1,1,1,5229,31,7004,708,12687,1,0,0,0,0,1637,354,355,6793,6792,3297,6488,8674,76,76,76,76,76,76,76,554,7214,0,0,4203,1,1,1,1,1,0,29,317,0,5,222,0,11,0,1018,8431,8430,8432,1456,747,13452,355,0,19,215,0,0,19,1,0,641,641,1004,1059,1059,1059,22,10,0,0,2,370,32,384,1,0,0,37,0,217,0,461,4998,4537,3,3,2,0,545,545,545,0,0,0,0,10,10,0,10,6950,0,0,0,0,1,0,0,78,2,8009,8010,883,8010,8010,20,218,8964,8963,8963,766,8965,666,0,0,0,0,84,309,0,0,51,4,43
Bengaluru,10087000,IMD Smart City Index 2020,70.1,73.4,76.8,73.9,2,95,IMD Smart City Index 2020,11/12/2020,0,118,61,2,2,6,36,22,49,49,14,27,1,1,49,794,101,33,49,27,0,1,4,49,4,4,18,4,4,4,4,71,8,787,233,0,0,23862,23862,5973,8,0,0,1035,119,2,0,7869,7869,6,6,6,6,6,0,28,14,1335,1214,1210,1225,11,2,2,2,2,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,13,1,1,1,0,12,12,13,12,12,69,4,0,260,260,305,273,273,250,349,7881,11359,50,2,1,0,1,0,0,0,0,2,2,2,2,2,2,2,198,4,65,9179,7,9236,0,0,1286,14,1789,515,1284,1266,772,772,22,32,97,32,21,1126,1150,1150,1151,1152,267,21,21,314,1,1,1,1,1,1,1,1,46,6,20449,0,0,23887,57,99,14655,14654,14654,26088,20215,6,179,1205,65,1206,40,1,1,1,4481,21,1234,367,24539,1,0,0,0,0,905,773,773,1162,1162,365,1055,1644,140,140,140,140,140,140,140,46,1293,6,6,1289,1,1,1,1,1,2,34,111,26,30,49,0,2,8,871,21256,21257,21259,783,415,24969,238,0,9,109,0,0,105,1,0,201,201,314,333,333,333,13,82,1,0,13,423,4,767,1,0,0,35,0,106,0,523,1816,1293,16,16,0,0,46,46,46,0,0,0,0,72,72,16,82,1252,0,0,0,0,1,0,0,139,4,1489,1489,380,1489,1489,8,264,1773,1773,1773,239,1773,263,0,0,0,0,153,121,0,0,110,1,28
Shenzhen,10749000,IMD Smart City Index 2020,79.5,84.0,84.4,81.4,4,67,IMD Smart City Index 2020,11/12/2020,0,105,34,4,0,0,526,313,692,693,186,379,0,0,693,73,328,484,693,379,0,0,5,27,5,5,16,5,5,5,5,103,2,67,22,0,0,4672,4672,11671,2,0,0,10288,108,1,0,3455,3456,0,0,0,0,0,0,1048,511,1993,1636,1642,1659,173,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,4,4,4,4,0,0,0,2,0,0,0,0,2,2,2,2,173,562,4,0,29,29,49,41,41,30,164,3464,5510,690,22,0,0,0,0,0,0,0,4,4,4,4,4,4,4,256,64,483,4072,19,4321,0,0,1781,17,1898,162,1781,1682,92,92,2,19,50,19,11,10582,10629,10629,10628,10629,36,11,11,133,0,0,0,0,0,0,0,0,13,27,2617,0,0,4687,208,51,397,397,397,6193,2489,3,1163,11046,588,11047,39,0,0,0,8955,11,11135,262,5173,0,0,0,0,0,1061,93,93,10852,10852,2285,10054,11898,57,57,57,57,57,57,57,86,11243,0,0,1804,0,0,0,0,0,0,24,714,0,2,155,0,3,0,769,3149,3149,3149,505,244,5436,1403,0,5,21,0,0,11,0,0,793,792,1216,1318,1318,1318,1,6,1,0,2,82,2,94,0,0,0,8,0,21,0,592,2346,1754,0,0,1,0,81,81,81,0,0,0,0,4,4,0,5,11130,0,0,0,0,0,0,0,57,4,11670,11670,1487,11670,11672,26,36,12389,12390,12390,945,12389,1118,0,0,0,0,62,1,2,2,390,0,0
Brussels,1205000,IMD Smart City Index 2020,58.3,63.2,51.7,73.3,5,60,IMD Smart City Index 2020,11/12/2020,0,7,77,2,0,1,319,99,405,405,167,306,0,0,405,300,38,344,405,306,0,0,0,68,0,0,10,0,0,0,0,47,2,296,153,0,0,11487,11487,12484,2,0,0,1434,7,0,0,8242,8242,1,1,1,1,1,0,49,37,1034,836,826,841,138,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,12,4,4,4,0,13,13,15,13,179,47,5,0,186,186,190,196,196,176,2912,8247,10861,406,19,0,0,0,0,0,0,0,3,3,3,3,3,3,3,57,3,625,9742,0,9842,0,0,861,7,940,90,853,839,469,977,18,53,119,53,15,1645,1668,1668,1668,1669,192,15,15,205,0,0,0,0,0,0,0,0,42,2,7261,0,0,11520,57,123,1700,1700,1700,12686,7206,6,754,1785,511,1784,62,0,0,0,11509,15,1850,247,11887,0,0,0,0,0,297,472,981,1798,1798,1215,1048,2414,152,152,152,152,152,152,152,29063,2069,1,1,862,0,0,0,0,0,5,12,596,18,20,43,0,12,14,320,8725,8725,8725,1436,1189,13078,47,0,9,49,0,0,121,0,0,528,528,614,657,657,657,13,97,0,0,10,997,15,1002,0,0,0,84,0,48,0,111,958,847,6,6,0,0,28669,28670,28670,0,0,0,0,76,76,32,97,1868,0,0,0,0,0,0,0,153,0,2215,2214,1116,2214,2214,2,192,2481,2481,2481,517,2481,882,0,0,0,0,157,41,0,0,15,0,2
Milan,3099000,IMD Smart City Index 2020,59.7,73.5,61.3,65.1,4,74,IMD Smart City Index 2020,11/12/2020,0,7,34,1,0,0,66,34,71,71,23,37,0,0,71,43,34,45,71,37,0,0,1,31,1,1,6,1,1,1,1,41,0,40,15,2,2,6095,6096,8527,0,0,0,10325,9,0,0,4384,4385,0,0,0,0,0,0,50,39,1751,1288,1288,1299,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,0,0,0,11,0,0,0,0,12,12,12,12,21,281,0,0,22,22,40,27,27,19,547,4394,7816,73,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,176,0,58,5124,5,5247,0,0,1328,11,1386,72,1328,1305,1244,1246,3,21,38,21,4,10511,10524,10528,10527,10529,24,4,4,56,0,0,0,0,0,0,0,0,64,5,2482,0,0,6133,36,43,948,948,948,8934,2410,0,277,10734,61,10733,13,0,0,0,7195,4,10753,187,6486,0,0,0,0,0,2681,1259,1261,10629,10629,560,10528,10847,45,45,45,45,46,46,46,67,10811,0,0,1335,0,0,0,0,0,0,65,105,0,18,68,0,44,0,254,3206,3206,3208,686,498,6990,168,0,4,11,0,2,52,0,0,121,121,159,173,173,173,21,41,1,0,2,1276,27,1298,0,0,0,45,24,11,0,99,1420,1321,6,6,5,2,67,67,67,1,1,1,1,39,39,1,40,10512,2,1,1,1,1,1,1,47,0,10662,10663,212,10664,10665,1,24,10803,10805,10808,145,10812,151,1,1,1,1,49,90,1,1,17,0,6
Beijing,20384000,IMD Smart City Index 2020,84.1,79.6,85.4,83.5,3,82,IMD Smart City Index 2020,11/12/2020,0,10,19,0,0,2,233,104,287,287,88,183,0,0,287,182,151,217,287,183,0,0,0,17,0,0,9,0,0,0,0,111,0,172,75,0,0,3345,3345,34053,0,0,0,4099,10,0,0,3062,3062,2,2,2,2,2,2,220,75,1158,773,763,996,76,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,13,2,2,2,0,11,11,13,11,77,1190,2,0,96,96,183,120,120,105,154,3063,4866,286,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,10,261,2731,14,3212,0,0,1072,232,1151,337,1070,1015,15952,15955,4,11,22,11,22,4338,4498,4499,4498,4498,110,22,22,200,0,0,0,0,0,0,0,0,75,63,1934,0,0,3356,266,23,432,432,432,5818,1616,0,1182,5031,388,5031,129,0,0,0,26737,22,5089,177,3878,0,0,0,0,0,2866,15961,15964,4570,4570,1987,3959,5547,27,27,27,27,27,27,27,258,5198,2,2,1080,0,0,0,0,0,0,6,473,13,19,143,0,19,5,413,2275,2275,2275,328,150,4031,4529,0,9,13,0,0,63,0,0,689,689,1059,1074,1074,1073,4,51,5,0,1,622,14,15888,0,0,0,18,1,13,0,524,1349,825,6,6,9,0,256,256,256,0,0,0,0,51,51,5,51,5031,0,0,0,0,0,0,0,27,1,5555,5555,1176,5555,5556,5,108,5911,5910,5910,921,5909,828,0,0,0,0,29,23,0,0,440,8,5
Helsinki,1180000,IMD Smart City Index 2020,64.6,68.4,73.4,83.4,9,2,IMD Smart City Index 2020,11/12/2020,0,466,54,4,0,6,37,24,43,43,13,19,0,0,43,638,235,27,43,19,0,0,3,48,3,3,10,3,3,3,3,59,3,636,235,3,3,13973,13972,10125,3,0,0,1564,480,0,0,6309,6309,6,6,6,6,6,0,35,23,1824,1646,1638,1660,11,1,1,1,1,1,1,1,0,0,0,0,0,0,1,3,3,3,3,3,3,3,0,0,0,9,0,0,0,0,11,11,11,11,12,30,3,0,263,263,286,269,269,254,2116,6327,10637,44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,98,1,77,8668,3,8766,0,0,1701,21,1880,198,1702,1670,622,623,23,36,71,36,7,1663,1688,1688,1688,1688,267,7,7,295,0,0,0,0,0,0,0,0,92,1,9172,0,0,14015,86,73,5250,5250,5250,16020,9035,1,269,1817,61,1815,37,0,0,0,9274,7,1843,632,14850,0,0,0,0,0,894,625,626,1739,1739,494,1571,2410,99,99,99,99,99,99,99,255,1938,6,6,1713,0,0,0,0,0,2,60,119,9,23,64,0,2,4,852,12948,12948,12948,3768,3132,17987,53,0,6,162,0,3,109,1,1,336,336,471,521,521,520,77,78,2,1,6,519,32,654,1,0,1,265,0,161,1,264,1946,1682,8,8,0,3,252,252,252,1,1,1,1,72,72,11,78,1864,3,1,1,1,1,1,1,99,11,2171,2171,532,2171,2171,8,266,2760,2760,2759,391,2759,382,1,1,1,1,126,334,1,1,28,0,9
Stockholm,1486000,IMD Smart City Index 2020,58.8,66.1,63.7,83.2,8,16,IMD Smart City Index 2020,11/12/2020,0,28,39,1,0,0,25,12,35,35,12,23,0,0,35,106,50,23,35,23,0,0,0,31,0,0,9,0,0,0,0,27,1,104,26,0,0,4450,4450,11733,1,0,0,9053,28,0,0,2426,2426,0,0,0,0,0,0,15,10,1079,954,952,957,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,97,1,0,42,42,52,46,46,38,390,2423,3701,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,27,2740,1,3239,0,0,975,1,1063,72,971,963,100,584,29,24,48,24,6,9201,9202,9203,9203,9203,44,6,6,57,0,0,0,0,0,0,0,0,25,0,3043,0,0,4455,30,56,1687,1687,1687,5905,2932,0,104,9298,29,9302,62,0,0,0,10477,6,9313,155,4761,0,0,0,0,0,1544,101,585,9275,9277,218,9232,9545,87,87,87,87,87,87,87,160,9359,0,0,992,0,0,0,0,0,0,15,40,0,0,27,0,6,0,235,3623,3623,3624,565,409,5173,81,0,1,314,0,0,17,0,0,155,155,208,255,255,255,28,12,0,0,8,572,7,586,0,0,0,103,0,315,0,84,1070,986,17,17,1,0,157,157,157,0,0,0,0,12,12,0,12,9022,0,0,0,0,0,0,0,87,2,9168,9168,208,9171,9171,1,43,9326,9329,9329,157,9329,138,0,0,0,0,89,69,0,0,1,0,9
Shanghai,23741000,IMD Smart City Index 2020,84.7,84.7,88.8,89.0,3,81,IMD Smart City Index 2020,11/12/2020,0,4,13,2,0,0,281,61,400,400,127,339,0,0,401,165,152,380,401,339,0,0,0,13,0,0,3,0,0,0,0,89,0,156,67,0,0,3814,3814,31174,0,0,0,5382,4,0,0,3287,3287,0,0,0,0,0,0,246,48,1926,1113,1115,1125,120,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,2,2,2,2,0,0,0,8,0,0,0,0,8,8,8,8,122,1245,4,0,95,95,154,118,118,97,121,3293,5758,405,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,26,458,3293,8,3494,0,0,1215,10,1312,136,1216,1144,1231,1412,1,12,16,12,25,5634,5658,5660,5660,5660,109,25,25,175,0,0,0,0,0,0,0,0,67,96,1579,0,0,3828,67,18,346,346,346,6345,1486,0,1454,5874,1072,5875,95,0,0,0,24077,25,5918,111,4118,0,0,0,0,0,4047,1237,1418,5790,5790,1980,4487,6314,20,20,20,20,20,20,20,171,6063,0,0,1225,0,0,0,0,0,0,11,1191,2,10,113,0,20,0,532,1876,1876,1876,267,155,4275,4945,0,6,130,0,0,32,0,0,1244,1244,1362,1391,1391,1391,2,32,4,0,1,1213,7,1401,0,0,0,18,0,128,0,475,1668,1193,11,11,15,0,167,167,167,0,0,0,0,30,30,5,32,5905,0,0,0,0,0,0,0,20,0,6236,6236,1641,6237,6237,11,104,6603,6603,6605,1273,6606,1508,0,0,0,0,22,33,0,0,253,8,1
Phoenix,4063000,IMD Smart City Index 2020,51.3,55.5,45.4,83.8,7,39,IMD Smart City Index 2020,11/13/2020,0,37,48,0,0,0,70,55,150,150,18,95,0,0,150,71,256,96,150,95,0,0,1,38,1,1,6,1,1,1,1,37,1,70,26,0,0,7018,7018,20499,1,0,0,3313,63,0,0,4354,4354,0,0,0,0,0,0,15,12,1874,1611,1610,1614,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,21,21,21,14,122,0,0,41,41,62,42,42,37,164,4360,9017,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,67,327,5443,0,6233,0,0,1633,3,1683,52,1632,1626,5740,7423,5,29,65,29,0,3380,3385,3383,3384,3384,41,0,0,63,0,0,0,0,0,0,0,0,22,3,2358,0,0,7032,40,63,811,811,811,10640,2309,1,495,3744,107,3744,25,0,0,0,16516,0,3752,148,7298,0,0,0,0,0,1054,5740,7423,3703,3703,1193,3360,4004,72,72,72,72,72,72,72,114,3761,0,0,1636,0,0,0,0,0,1,110,151,2,22,62,0,32,1,254,2752,2752,2752,385,237,7535,257,0,0,362,0,0,41,0,0,116,116,163,178,178,178,23,33,1,0,0,6362,2,7427,0,0,0,59,0,367,0,118,1754,1636,20,20,0,0,114,114,114,0,0,0,0,33,33,1,33,3751,0,0,0,0,0,0,0,72,2,3941,3941,513,3941,3941,0,41,5222,5222,5222,153,5222,454,0,0,0,0,77,44,0,0,17,1,0
