country_code,country,GDP,GCI,globalrank,population_2020,population_source,factor_sources,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,gini_year,gini_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
IE,Ireland,67335.29,0.206,22,4938000,United Nations,IMD World Digital Competitiveness ,20,24,30,14,19,35,25,14,45,30,12,9,25,31.8,2015,Index Mundi,11/14/2020,1381786,70,631,42,0,4,1718,592,2152,2152,728,1560,5,5,2153,5459,1189,2078,2150,1561,0,5,20,527,20,20,142,20,20,20,20,203,32,5457,2553,9,9,83189,83194,92539,32,0,0,23646,72,11,0,44556,44560,4,4,4,4,4,0,180,125,16427,15119,15107,15186,617,10,10,10,10,10,10,10,9,9,9,5,5,7,30,24,24,24,24,24,24,24,10,10,20,190,24,23,23,0,175,175,185,175,728,578,13,0,2675,2675,2731,2716,2717,2622,6465,44756,74745,2155,43,4,0,4,0,4,0,0,12,12,12,12,12,12,12,2200,26,5066,60057,38,67125,4,4,15446,73,16009,549,15449,15112,917,922,125,350,831,350,73,25190,25383,25387,25390,25392,2685,73,73,2761,4,4,4,4,4,4,4,4,176,52,53436,4,4,82854,967,893,20627,20497,20502,101781,51292,17,5944,27665,8,2277,12,0,0,0,1295,0,2269,8,2370,0,0,0,0,0,2772,127,127,2259,2259,26,2250,2277,0,0,0,0,0,0,0,0,2273,0,0,37,0,0,0,0,0,0,0,9,0,1,3,0,0,0,44,249,249,249,13,5,2378,39,0,0,0,0,0,1,0,0,13,13,20,25,25,25,0,1,0,0,0,127,0,127,0,0,0,0,0,0,0,40,76,36,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2273,0,0,0,0,0,0,0,0,1,2276,2276,20,2276,2276,0,1,2288,2288,2288,20,2288,10,0,0,0,0,1,41,0,0,1,0,5
IM,Isle of Man,N/A,N/A,N/A,85000,United Nations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,11/14/2020,159692,0,1,0,0,0,4,0,4,4,4,4,0,0,4,0,5,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,63,0,0,0,48,0,1,0,83,83,0,0,0,0,0,0,0,0,29,20,20,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,3,83,158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103,1,108,0,0,20,0,23,3,20,20,6,6,0,1,3,1,0,47,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,2,0,77,0,0,147,3,3,41,39,39,199,73,0,8,48,148,3967,9,0,0,0,6165,5,4030,414,8441,0,0,0,0,0,21365,1456,1483,3733,3734,1053,3513,4821,57,57,57,57,57,56,56,78,4145,1,1,1325,0,0,0,0,0,0,202,223,3,6,93,0,11,3,859,4875,4875,4876,998,584,9054,1168,0,1,964,0,0,56,0,0,612,612,812,890,890,890,0,42,0,0,4,1449,13,1484,0,0,0,53,0,982,0,558,1864,1306,0,0,0,0,78,78,78,0,0,0,0,38,38,4,40,4101,0,0,0,0,0,0,0,57,6,4454,4454,732,4455,4457,14,127,5224,5224,5225,718,5225,668,0,0,0,0,70,327,0,0,44,0,120
IL,Israel,33132.32,0.676,6,8656000,United Nations,IMD World Digital Competitiveness ,19,9,32,23,28,1,3,32,26,36,26,29,14,38.9,2016,Index Mundi,11/14/2020,113346,47,165,7,0,0,107,61,120,120,31,59,1,1,120,67,196,71,120,59,0,1,3,150,3,3,17,3,3,3,3,66,3,66,17,0,0,4108,4108,7574,4,0,0,1953,53,1,0,3023,3023,0,0,0,0,0,0,36,25,892,598,597,609,20,4,4,4,4,4,4,4,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,1,36,1,1,1,0,36,36,36,36,22,2164,0,0,46,46,55,47,47,31,209,3031,5611,120,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,220,0,94,3558,4,3632,1,1,639,12,990,368,640,611,10157,10642,19,110,186,109,3,2039,2044,2044,2044,2042,47,3,3,83,1,1,1,1,1,1,1,1,34,3,1289,1,1,4115,30,192,514,510,510,6192,1215,1,310,2213,21,303,6,0,0,0,681,2,306,86,1449,0,0,0,0,0,617,16,16,286,286,60,258,322,19,19,19,19,19,19,19,19,311,0,0,177,0,0,0,0,0,0,3,27,0,3,14,0,10,0,97,756,756,755,235,148,1603,36,0,1,38,0,0,10,0,0,25,25,30,30,30,30,11,9,0,0,0,15,0,16,0,0,0,5,0,41,0,14,188,174,0,0,0,0,20,20,20,0,0,0,0,9,9,0,9,309,0,0,0,0,0,0,0,19,1,337,337,50,337,337,0,8,365,365,365,23,365,42,0,0,0,0,22,14,0,0,0,0,0
IT,Italy,35220.08,0.559,10,60462000,United Nations,IMD World Digital Competitiveness ,42,42,46,38,42,58,22,48,54,43,42,23,39,35.4,2015,Index Mundi,11/14/2020,2895906,147,635,18,5,6,912,585,992,991,348,404,4,4,988,791,717,540,991,404,0,4,9,552,9,9,75,9,9,9,9,557,15,720,340,11,11,92413,92415,54089,15,0,1,37716,200,3,0,71913,71917,6,6,6,6,6,0,863,648,28521,19891,19800,20056,233,3,3,3,3,3,3,3,2,2,2,5,5,5,12,13,13,13,13,13,13,13,9,9,9,145,12,9,9,0,142,142,151,142,249,4346,2,0,524,524,764,621,621,453,9621,72186,128061,1003,24,5,1,5,1,4,1,1,14,14,14,14,14,14,14,5995,6,702,79205,72,80192,4,4,20380,190,21251,1157,20326,19966,4250,4745,65,404,739,404,79,39187,39262,39266,39269,39275,544,79,79,916,5,5,5,5,5,5,5,5,339,29,35175,4,4,92126,474,764,12140,12135,12136,140189,34108,13,4120,41483,760,41498,149,6,6,6,33060,77,41635,2276,95962,7,6,2,6,6,75868,4497,4994,39113,39117,7871,37150,42763,860,860,860,861,861,860,861,1292,42147,6,6,20528,6,6,6,6,6,5,352,2219,56,198,786,1,260,24,3160,45392,45399,45404,9922,7635,103824,3692,0,45,464,0,10,778,7,2,2289,2289,2902,3161,3160,3160,452,585,6,6,27,4968,72,5123,7,0,1,1353,24,474,0,1448,21811,20362,59,59,8,10,1308,1309,1310,5,5,5,5,529,529,37,575,42269,10,5,5,5,6,5,5,871,23,44692,44695,3843,44698,44698,27,545,47335,47342,47348,2706,47367,3046,2,2,1,2,928,1605,4,4,321,0,81
JM,Jamaica,8193.571,0.235,21,2961000,United Nations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.5,2004,Index Mundi,11/14/2020,4399,0,1,0,0,0,5,5,5,5,0,0,0,0,5,5,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,187,187,121,1,0,0,95,0,0,0,151,151,0,0,0,0,0,0,4,4,223,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,35,0,0,2,2,4,2,2,2,13,151,244,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,150,3,152,0,0,27,0,51,25,27,25,2,2,1,0,1,0,0,96,96,96,96,96,2,0,0,6,0,0,0,0,0,0,0,0,0,0,89,0,0,186,3,1,36,36,36,285,73,0,12,108,0,23,0,0,0,0,25,0,22,3,59,0,0,0,0,0,136,0,0,16,16,10,16,23,0,0,0,0,0,0,0,1,22,0,0,9,0,0,0,0,0,0,0,3,0,0,2,0,4,0,7,35,35,35,5,2,61,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,25,3,25,25,0,0,25,25,25,3,25,0,0,0,0,0,0,5,0,0,0,0,0
JP,Japan,39002.22,0.706,5,126476000,United Nations,IMD World Digital Competitiveness ,27,22,26,26,46,15,11,44,33,5,19,56,23,32.1,2008,Index Mundi,11/14/2020,4796647,507,5728,322,7,2,6257,2962,7897,7899,2286,4939,0,0,7900,7634,2729,6073,7904,4944,0,0,137,5171,137,137,925,137,137,137,137,13698,116,7098,1357,150,150,187342,187345,283748,116,0,0,155079,566,86,0,215490,215490,2,2,2,2,2,0,2155,1562,90809,63037,62952,63230,1554,17,17,17,17,17,17,17,14,14,14,10,10,16,642,289,289,289,289,289,289,289,25,25,30,108,33,31,31,0,81,81,106,81,1919,2463,108,0,6345,6345,10797,6986,6987,1768,9420,215978,347918,7918,391,0,0,0,0,0,0,0,60,60,60,60,59,59,59,32469,144,11588,164561,342,188301,0,0,65358,199,66510,985,65300,64408,37736,38281,524,4058,6769,4058,314,163599,164265,164283,164293,164305,6403,315,315,15179,0,0,0,0,0,0,0,0,1986,308,59162,0,0,186876,1949,6910,14922,14855,14855,385030,53012,113,21212,171796,1,108,30,0,0,0,52,0,111,10,207,0,0,0,0,0,261,2,2,103,103,34,99,118,2,2,2,2,2,2,2,1,113,0,0,29,0,0,0,0,0,0,0,2,0,3,1,0,4,0,33,107,107,107,18,8,216,27,0,0,0,0,0,9,0,0,3,3,9,15,15,15,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,26,53,27,6,6,2,0,1,1,1,0,0,0,0,4,4,0,4,112,0,0,0,0,0,0,0,2,0,116,116,13,116,116,0,2,123,123,123,8,123,6,0,0,0,0,2,16,0,0,0,0,1
JE,Jersey,N/A,0.206,22,173863,worldometer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,11/14/2020,6294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,49,26,0,0,0,14,0,0,0,19,19,0,0,0,0,0,0,1,0,11,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0,0,8,0,10,2,8,8,0,0,0,0,0,0,0,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,52,2,0,13,14,14,61,29,0,8,23,6,157,3,0,0,0,124,0,156,21,384,0,0,0,0,0,141,0,0,144,144,76,138,179,5,5,5,5,5,5,5,5,166,0,0,72,0,0,0,0,0,0,5,11,2,3,13,0,13,2,30,224,224,224,37,16,401,110,0,1,0,0,0,15,0,0,20,20,28,33,33,33,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,22,92,70,18,18,0,0,6,6,6,0,0,0,0,10,10,4,14,160,0,0,0,0,0,0,0,5,0,180,180,30,180,180,1,9,194,194,195,23,195,19,0,0,0,0,5,76,0,0,3,0,9
JO,Jordan,8337.49,0.176,23,10203000,United Nations,IMD World Digital Competitiveness ,53,54,44,58,40,33,63,42,38,63,61,37,57,33.7,2010,Index Mundi,11/14/2020,4779398,0,1,1,0,0,7,6,8,8,2,2,0,0,8,9,1,3,9,3,0,0,0,1,0,0,1,0,0,0,0,18,0,9,0,0,0,340,340,209,0,0,0,133,0,0,0,247,247,0,0,0,0,0,0,10,6,94,59,57,62,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,2,41,0,0,8,8,12,8,8,2,43,246,417,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,274,5,284,0,0,71,5,80,15,71,67,0,0,2,1,3,1,0,145,145,145,145,145,8,0,0,18,0,0,0,0,0,0,0,0,0,1,188,0,0,334,6,3,47,47,47,479,168,0,17,157,8073,171831,495,0,0,0,213732,311,174187,12802,212034,1,0,0,0,0,53132,38486,39025,165874,165880,43086,148510,191875,7770,7770,7770,7771,7766,7769,7768,8689,180561,2,2,65971,1,1,1,1,1,39,2669,10836,66,117,4170,0,29,57,13668,82105,82106,82117,19893,7036,219469,5886,0,147,5186,0,146,515,1,0,18888,18888,23386,24751,24749,24748,153,354,56,0,57,32320,233,39423,1,0,0,2851,2,5401,0,1529,68587,67063,1,1,18,146,8733,8733,8733,0,0,0,0,281,281,89,354,179276,146,0,0,0,1,0,0,7779,134,192555,192563,32185,192576,192587,156,6465,209283,209282,209286,19818,209314,23693,0,0,0,0,8175,22245,1,1,927,14,607
KZ,Kazakhstan,24055.59,0.412,15,18777000,United Nations,IMD World Digital Competitiveness ,36,34,41,33,49,4,54,23,55,48,33,13,46,27.5,2017,Index Mundi,11/14/2020,79283,126,18,0,0,0,64,28,92,92,35,64,0,0,92,220,23,73,92,64,0,0,2,16,2,2,3,2,2,2,2,60,0,221,97,0,0,3149,3150,3459,0,0,0,1093,140,0,0,2940,2941,0,0,0,0,0,0,32,21,698,560,557,561,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,1,1,0,15,15,15,15,31,63,8,0,134,134,155,137,137,125,289,2942,4488,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1,124,2519,3,2552,0,0,576,4,659,87,576,568,63,63,2,12,24,12,13,1184,1192,1192,1192,1192,136,13,13,160,0,0,0,0,0,0,0,0,18,2,1470,0,0,3145,18,24,593,590,590,5077,1415,0,213,1243,61,453,9,0,0,0,796,8,466,53,1939,0,0,0,0,0,1032,11,11,443,443,220,360,523,14,14,14,14,14,14,14,10,477,0,0,449,0,0,0,0,0,0,4,77,1,3,28,0,13,0,83,1211,1211,1211,146,93,2036,102,0,6,2,0,0,22,0,0,63,63,83,90,90,90,3,13,0,0,1,9,0,11,0,0,0,16,0,2,0,49,506,458,0,0,0,0,10,10,10,0,0,0,0,10,10,0,12,479,0,0,0,0,0,0,0,14,0,506,506,137,506,506,6,30,573,573,573,79,573,105,0,0,0,0,14,42,0,0,18,0,44
KE,Kenya,2993.028,0.088,26,53771000,United Nations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.8,2015,Index Mundi,11/14/2020,34923,1,5,0,0,0,37,23,38,38,16,15,0,0,38,70,7,22,38,15,0,0,0,5,0,0,5,0,0,0,0,13,0,69,26,0,0,1819,1820,1297,0,0,0,357,1,0,0,1293,1293,0,0,0,0,0,0,29,17,283,221,223,228,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,15,14,1,0,30,30,29,33,33,29,96,1293,2052,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,58,1346,8,1353,0,0,437,4,473,40,436,423,12,12,5,5,9,5,8,419,422,422,422,422,32,8,8,41,0,0,0,0,0,0,0,0,2,0,1046,0,0,1810,13,8,450,451,452,2514,1016,0,102,453,4,172,1,0,0,0,200,2,171,9,537,0,0,0,0,0,40,22,22,166,166,46,159,204,12,12,12,12,12,12,12,4,184,0,0,81,0,0,0,0,0,0,35,6,0,0,0,0,0,0,21,300,300,301,51,42,581,100,0,0,3,0,0,3,0,0,23,23,28,29,29,29,1,2,0,0,1,21,1,23,0,0,0,11,0,3,0,24,101,77,0,0,0,0,4,4,4,0,0,0,0,0,0,2,2,182,0,0,0,0,0,0,0,12,1,199,199,28,199,199,0,19,252,252,252,23,252,15,0,0,0,0,13,89,0,0,3,0,17
KI,Kiribati,1981.132,0.059,27,119000,United Nations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,2006,Index Mundi,11/14/2020,31593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,4,2,0,0,0,31,1135,2,0,0,0,2078,0,1142,29,951,0,0,0,0,0,694,1005,1005,1119,1119,402,1082,1231,4,4,4,4,4,4,4,0,1163,0,0,165,0,0,0,0,0,0,3,36,0,0,30,0,0,0,60,596,596,596,52,23,977,84,0,0,4,0,0,0,0,0,69,69,100,103,103,103,4,0,0,0,0,854,0,1010,0,0,0,0,0,4,0,42,206,164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,4,0,1210,1210,111,1211,1211,2,8,1246,1246,1246,84,1246,58,0,0,0,0,4,35,0,0,9,0,8
KW,Kuwait,65530.54,0.118,25,4271000,United Nations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,11/14/2020,21068,0,0,0,0,0,12,2,12,12,5,10,0,0,12,7,4,14,12,10,0,0,0,0,0,0,0,0,0,0,0,33,0,6,2,0,0,300,300,461,0,0,0,180,0,0,0,3216,3216,0,0,0,0,0,0,20,12,101,55,55,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,5,52,0,0,3,3,9,4,4,2,33,3223,3373,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,238,3,247,0,0,60,2,97,39,60,57,2,2,3,0,0,0,0,178,178,178,178,178,3,0,0,35,0,0,0,0,0,0,0,0,0,0,150,0,0,301,5,0,58,57,57,3438,132,0,25,186,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,3,1,0,5,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
KG,Kyrgyz Republic,3393.474,0.059,27,6524000,United Nations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.3,2017,Index Mundi,11/14/2020,8947,89,12,0,0,0,9,8,10,10,1,2,0,0,10,43,5,4,10,2,0,0,0,12,0,0,2,0,0,0,0,14,0,39,13,0,0,505,505,271,0,0,0,162,89,0,0,449,449,0,0,0,0,0,0,1,1,100,75,75,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,19,19,27,23,23,17,77,448,685,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,411,1,413,0,0,80,4,98,22,80,80,20,20,0,6,13,6,2,173,175,175,175,175,19,2,2,29,0,0,0,0,0,0,0,0,1,0,251,0,0,506,3,13,91,91,91,770,229,0,11,172,0,3,1,0,0,0,2,0,3,0,7,0,0,0,0,0,4,0,0,3,3,1,3,3,1,1,1,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,3,0,3,3,0,0,3,3,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0
