,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
44,Chile,High,19116000.0,41.0,49.0,40.0,39.0,37.0,49.0,58.0,33.0,40.0,44.0,22.0,54.0,40.0,46.6,359398,7.649783832808453,18.800899769826323,0.1438412272441934
45,China,Upper middle,1439324000.0,16.0,8.0,27.0,18.0,13.0,40.0,2.0,18.0,31.0,32.0,17.0,4.0,35.0,38.5,7532736,7.195014175460284,5.233523515205749,0.0376552758795101
46,Christmas Island,,2205.0,,,,,,,,,,,,,,,12162495,7.821178642765296,5515870.748299319,43199.72512471656
47,Cocos (Keeling) Islands,,600.0,,,,,,,,,,,,,,,343079,7.085223050223095,571798.3333333334,4051.9091666666673
48,Colombia,Upper middle,50771878.0,61.0,59.0,61.0,50.0,54.0,48.0,57.0,60.0,56.0,61.0,60.0,38.0,49.0,50.4,307718,7.532529035948026,6.060796096610805,0.04565371601972254
49,Comoros,Lower middle,865696.0,,,,,,,,,,,,,,45.3,3303,6.867817135937028,3.8154271245333233,0.0262036557867889
50,Cook Islands,,18000.0,,,,,,,,,,,,,,,866,7.451385681293302,48.111111111111114,0.35849444444444445
51,Costa Rica,Upper middle,5094000.0,,,,,,,,,,,,,,48.3,49544,7.904315356047151,9.725952100510405,0.07687699254024344
52,"Cote d,Ivoire",Lower middle,26378000.0,,,,,,,,,,,,,,41.5,4467,7.913588538168795,0.16934566684358177,0.00134013192812192
53,Croatia,High,4105000.0,52.0,41.0,49.0,62.0,61.0,26.0,32.0,59.0,43.0,40.0,46.0,63.0,59.0,31.1,82879,7.798938275179773,20.189768574908648,0.15746825822168095
54,Cuba,Upper middle,11327000.0,,,,,,,,,,,,,,,505076,7.139746416976802,44.590447603072306,0.3184174362143552
55,Curacao,High,164000.0,,,,,,,,,,,,,,,5305834,6.816401544177481,32352.646341463416,220.59458963414627
56,Cyprus,High,1207000.0,40.0,40.0,52.0,29.0,57.0,30.0,35.0,47.0,52.0,52.0,28.0,42.0,29.0,34.0,25541,7.695599232606397,21.16072908036454,0.16284449047224522
57,Czech Republic,High,10709000.0,35.0,37.0,36.0,36.0,26.0,46.0,31.0,45.0,27.0,28.0,34.0,27.0,36.0,25.9,771332,7.950227910920273,72.0265197497432,0.5726435801662151
