city,city_type,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,population_2020,overall_rating,overall_ranking,country,countrycode,cities_in_motion,economy,human_capital,social_cohesion,environment,goverance,urban_planning,international_outreach,technology,mobility_and_transportation,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010,,,
Chicago,"smart city,city in motion",54,56.9,39.3,71.2,8745000,7,41,United States of America,US,13,8,10,135,136,46,3,19,17,38,1035946,70,36,0,1,0,101,34,109,109,62,74,0,0,108,81,43,100,108,74,0,0,0,30,0,0,4,0,0,0,0,29,2,80,30,0,0,14515,14518,31563,2,0,0,4857,76,3,0,12015,12016,0,0,0,0,0,0,734,25,2519,2235,2232,2243,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,13,13,13,61,267,0,0,43,43,51,46,46,41,368,12026,17228,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1,134,12483,3,12931,0,0,2272,11,2600,334,2272,2250,107545,107551,11,24,54,24,4,4947,4948,4948,4948,4948,45,4,4,61,0,0,0,0,0,0,0,0,66,4,4640,0,0,14577,35,55,1660,1660,1660,19374,4560,1,699,5465,116,5443,33,0,0,0,25536,4,5467,493,15098,0,0,0,0,0,2331,103751,103756,5410,5410,1141,5255,5828,70,70,70,70,70,71,71,424,5502,0,0,2254,0,0,0,0,0,0,38,132,1,14,41,0,104,0,1059,5514,5513,5512,882,392,15497,231,0,3,152,0,0,41,0,0,98,98,158,167,167,167,18,26,1,0,3,57250,1462,105387,0,0,0,20,0,163,0,585,2844,2260,23,23,5,0,425,425,425,0,0,0,0,22,22,2,26,5512,0,0,0,0,0,0,0,72,1,5835,5835,492,5838,5836,0,45,10776,10777,10778,133,10778,422,0,0,0,0,75,126,0,0,12,2,13,,,
Chongqing,smart city,87.9,89.1,90.3,81.6,13332000,4,64,China,CN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26382,2,0,0,0,0,10,4,12,12,5,8,0,0,12,9,8,11,12,8,0,0,0,0,0,0,0,0,0,0,0,15,0,9,4,0,0,207,207,3807,0,0,0,304,2,0,0,205,205,0,0,0,0,0,0,40,6,92,56,56,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,178,0,0,6,6,20,7,7,7,11,204,305,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,12,172,0,188,0,0,65,1,72,9,65,61,681,681,0,0,0,0,2,325,328,328,328,328,8,2,2,21,0,0,0,0,0,0,0,0,3,1,121,0,0,208,8,0,22,22,22,343,112,0,52,341,20,337,15,0,0,0,3241,2,340,7,219,0,0,0,0,0,624,655,655,305,305,98,271,348,0,0,0,0,0,0,0,26,352,0,0,64,0,0,0,0,0,0,0,26,0,0,5,0,0,0,28,136,136,136,18,11,229,1128,0,0,0,0,0,0,0,0,39,39,62,64,64,64,0,0,0,0,0,643,0,657,0,0,0,15,0,0,0,27,89,62,0,0,1,0,26,26,26,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,376,376,66,376,376,0,9,393,393,393,48,394,46,0,0,0,0,0,0,0,0,41,0,0,,,
Cleveland,normal city,N/A,N/A,N/A,N/A,1763000,N/A,N/A,United States of America,US,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15548,0,1,0,0,0,15,4,15,15,8,11,0,0,15,2,0,12,15,11,0,0,0,1,0,0,0,0,0,0,0,9,0,1,1,0,0,450,449,190,0,0,0,207,0,0,0,343,343,0,0,0,0,0,0,2,2,88,71,70,71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,72,0,0,1,1,3,2,2,1,25,343,514,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,335,0,345,0,0,71,0,80,9,70,70,62,182,0,1,1,1,0,211,211,211,211,211,1,0,0,10,0,0,0,0,0,0,0,0,0,0,290,0,0,450,1,1,107,107,107,637,274,0,20,218,12,217,5,0,0,0,107,0,221,12,481,0,0,0,0,0,438,63,183,217,217,106,199,231,1,1,1,1,1,1,1,7,222,0,0,71,0,0,0,0,0,0,4,16,0,0,13,0,40,0,43,327,327,327,38,26,508,16,0,0,0,0,0,6,0,0,11,11,13,17,17,17,10,4,0,0,0,121,0,184,0,0,0,0,0,0,0,33,106,73,1,1,0,0,7,7,7,0,0,0,0,3,3,0,3,226,0,0,0,0,0,0,0,1,0,235,235,26,235,235,0,1,250,250,250,13,251,24,0,0,0,0,1,13,0,0,2,0,0,,,
Cologne,city in motion,N/A,N/A,N/A,N/A,1118000,N/A,N/A,Germany,DE,56,52,52,27,107,38,108,67,36,33,125889,9,17,3,0,0,20,7,23,23,12,16,0,0,23,41,35,20,23,16,0,0,0,14,0,0,3,0,0,0,0,35,0,38,8,4,4,5296,5296,1648,0,0,0,476,9,0,0,4386,4386,0,0,0,0,0,0,35,26,481,297,297,308,11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,7,1,0,0,0,8,8,8,8,11,88,0,0,18,18,39,20,20,14,1085,4402,5672,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,22,4247,3,4286,0,0,316,11,344,39,316,308,297,300,0,10,20,10,2,520,525,525,525,525,18,2,2,43,0,0,0,0,0,0,0,0,9,1,3570,0,0,5339,23,23,1049,1049,1049,6787,3480,0,121,577,25,573,7,0,0,0,1211,2,579,52,5464,0,0,0,0,0,794,299,302,528,528,218,467,636,23,23,23,23,23,23,23,1950,591,0,0,313,0,0,0,0,0,0,17,54,5,12,39,0,47,2,92,5068,5068,5069,1515,1462,6936,19,0,2,0,0,4,44,0,0,92,92,116,121,121,121,118,33,0,0,0,299,6,308,0,0,0,88,0,0,0,67,370,303,2,2,1,4,1957,1957,1957,0,0,0,0,25,25,0,33,588,4,0,0,0,0,0,0,23,2,645,645,118,643,644,0,18,693,693,693,104,693,77,0,0,0,0,27,18,0,0,41,0,0,,,
Colorado Springs,normal city,N/A,N/A,N/A,N/A,668000,N/A,N/A,United States of America,US,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Copenhagen,"smart city,circular city,city in motion",59,68.6,66.1,80.1,1268000,9,6,Denmark,DK,6,19,46,13,2,7,81,18,21,29,25573,2,4,0,0,0,8,4,12,12,3,8,0,0,12,5,4,8,12,8,0,0,0,2,0,0,1,0,0,0,0,9,1,5,2,0,0,1051,1051,587,1,0,0,178,2,0,0,806,806,0,0,0,0,0,0,1,1,238,169,166,169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96,3,0,5,5,6,5,5,4,175,801,1192,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,0,10,868,0,884,0,0,175,2,188,14,174,173,49,49,0,1,11,1,0,186,187,187,187,187,5,0,0,11,0,0,0,0,0,0,0,0,15,2,545,0,0,1043,6,9,159,159,159,1371,504,0,24,193,8,192,7,0,0,0,511,0,192,16,1103,0,0,0,0,0,339,49,49,180,180,50,167,205,11,11,11,11,11,11,11,15,195,0,0,175,0,0,0,0,0,5,9,15,1,2,3,0,13,0,30,691,691,691,142,126,1230,20,0,0,3,0,0,7,0,0,15,15,20,21,21,21,17,4,0,0,1,50,3,52,0,0,0,6,0,3,0,16,192,176,4,4,0,0,15,15,15,0,0,0,0,3,3,0,4,195,0,0,0,0,0,0,0,10,2,211,211,25,211,211,0,5,224,224,224,19,224,16,0,0,0,0,11,48,0,0,2,0,0,,,
Córdoba,city in motion,N/A,N/A,N/A,N/A,344000,N/A,N/A,Argentina,AR,139,167,127,100,72,130,147,147,134,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Curitiba,city in motion,N/A,N/A,N/A,N/A,3678000,N/A,N/A,Brazil,BR,138,156,148,147,52,143,135,148,148,89,38299,1,2,0,0,0,25,3,27,27,20,24,0,0,27,101,8,30,27,24,0,0,0,2,0,0,0,0,0,0,0,37,0,98,72,0,0,1381,1381,482,0,0,0,361,0,0,0,1136,1136,0,0,0,0,0,0,16,12,286,179,178,186,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0,0,80,80,104,87,87,79,251,1139,1662,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,24,1147,3,1177,0,0,192,8,225,40,192,184,37,37,1,1,3,1,8,385,389,389,389,389,87,8,8,113,0,0,0,0,0,0,0,0,6,0,699,0,0,1387,14,3,226,226,226,1929,675,0,67,399,47,400,1,0,0,0,299,8,401,39,1468,0,0,0,0,0,389,34,34,384,384,113,334,439,4,4,4,4,4,4,4,18,408,0,0,193,0,0,0,0,0,0,11,56,0,0,17,0,3,0,71,948,948,948,235,196,1666,166,0,6,0,0,0,0,0,0,48,48,66,72,72,71,7,0,0,0,0,22,1,36,0,0,0,19,0,0,0,53,235,182,7,7,0,0,18,18,18,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,4,0,425,425,87,425,425,0,86,470,470,470,55,470,69,0,0,0,0,4,29,0,0,20,0,6,,,
Dallas,"normal city,city in motion",N/A,N/A,N/A,N/A,1382000,N/A,N/A,United States of America,US,38,7,12,108,133,66,49,74,52,73,592307,167,107,4,0,0,350,67,366,366,301,299,0,0,366,149,108,332,366,299,0,0,3,74,3,3,17,3,3,3,3,103,2,146,66,3,3,18637,18637,22635,2,0,0,3934,170,0,0,10124,10124,0,0,0,0,0,0,37,24,3108,2539,2542,2546,279,2,2,2,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,5,5,5,280,351,0,0,89,89,145,93,93,74,2700,10129,18933,367,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,849,1,452,13819,14,14096,0,0,2592,4,2725,132,2592,2557,20789,21337,6,69,135,69,9,4151,4163,4164,4164,4165,91,9,9,170,0,0,0,0,0,0,0,0,55,0,9679,0,0,18710,130,133,4666,4666,4666,23903,9517,1,1195,4820,363,4802,50,0,0,0,15863,9,4826,266,19156,0,0,0,0,0,1011,19544,20092,4669,4669,1509,4134,5329,147,147,147,147,147,147,147,135,4907,0,0,2597,0,0,0,0,0,4,236,507,2,6,61,0,56,0,425,10450,10450,10449,745,479,19661,192,0,7,3077,0,3,37,0,0,219,219,369,392,392,392,23,17,1,0,4,14723,15,20162,0,0,0,297,0,3104,0,197,2792,2594,5,5,15,3,135,135,135,0,0,0,0,15,15,0,18,4860,3,0,0,0,0,0,0,147,5,5236,5236,995,5237,5237,1,93,6791,6791,6790,340,6790,809,0,0,0,0,158,103,0,0,153,0,34,,,
Delhi,"normal city,city in motion",N/A,N/A,N/A,N/A,30290000,N/A,N/A,India,IN,162,77,159,168,170,110,161,85,160,102,57729,1,6,0,0,1,66,23,66,66,44,43,0,0,66,49,6,46,66,43,0,0,0,6,0,0,2,0,0,0,0,39,0,47,21,0,0,1333,1333,1837,0,0,0,750,1,1,0,992,992,1,1,1,1,1,0,25,19,374,272,272,283,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,43,69,0,0,34,34,57,36,36,25,43,1000,1776,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,62,1093,4,1136,0,0,288,11,356,77,288,281,214,214,1,6,10,6,5,795,800,800,799,798,34,5,5,60,0,0,0,0,0,0,0,0,3,0,577,0,0,1335,41,10,214,214,214,2036,550,0,146,881,50,878,360,0,0,0,1421,5,886,87,1478,0,0,0,0,0,1579,217,217,843,843,251,774,997,11,11,11,11,11,11,11,96,895,1,1,288,0,0,0,0,0,0,0,75,3,3,23,0,4,1,188,724,726,726,126,39,1519,252,0,4,2,0,0,15,0,0,33,33,180,195,195,195,3,11,0,0,0,221,8,227,0,0,0,3,0,2,0,120,403,283,4,4,0,0,96,96,96,0,0,0,0,10,10,0,11,890,0,0,0,0,0,0,0,11,0,972,972,160,972,972,2,34,1532,1532,1531,71,1531,115,0,0,0,0,11,273,0,0,22,0,36,,,
Denver,"smart city,city in motion",58.5,59.3,47.7,77.7,2599000,7,35,United States of America,US,59,17,36,119,159,62,22,48,10,64,194376,5,21,1,0,0,32,24,33,33,9,9,0,0,33,29,19,19,33,9,0,0,1,20,1,1,4,1,1,1,1,35,1,23,17,0,0,5078,5079,2806,1,0,0,1063,5,0,0,4378,4378,0,0,0,0,0,0,23,17,400,276,275,277,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,7,548,0,0,20,20,52,26,26,20,3111,4379,5717,35,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,36,0,13,4848,1,4919,0,0,292,2,324,37,292,285,13340,13343,1,11,24,11,1,1093,1093,1093,1093,1093,20,1,1,54,0,0,0,0,0,0,0,0,2,5,3770,0,0,5096,12,24,204,204,204,6003,3742,0,62,1120,26,1120,11,0,0,0,2073,1,1126,17,5165,0,0,0,0,0,1201,12972,12976,1101,1101,182,1074,1189,24,24,24,24,24,24,24,57,1125,0,0,295,0,0,0,0,0,0,81,34,2,5,49,0,38,0,57,3955,3955,3955,183,166,5345,62,0,0,205,0,0,13,0,0,30,30,48,65,65,65,15,8,0,0,0,5071,0,13002,0,0,0,5,0,254,0,46,337,291,12,12,0,0,58,58,58,0,0,0,0,6,6,2,8,1130,0,0,0,0,0,0,0,23,1,1183,1183,69,1183,1183,0,20,1348,1348,1349,47,1349,45,0,0,0,0,24,16,0,0,1,0,2,,,
Doha,city in motion,N/A,N/A,N/A,N/A,344000,N/A,N/A,Qatar,QA,125,47,164,34,166,147,105,76,76,142,7142,0,0,0,0,0,8,7,8,8,0,1,0,0,8,1,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,205,205,156,0,0,0,98,0,0,0,73,73,0,0,0,0,0,0,3,2,27,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,7,1,1,1,10,73,134,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,98,0,98,0,0,22,0,45,18,22,20,0,0,0,0,0,0,1,101,101,101,101,101,1,1,1,7,0,0,0,0,0,0,0,0,0,0,150,0,0,210,2,0,109,109,109,245,139,0,11,110,1,109,1,0,0,0,113,1,109,7,230,0,0,0,0,0,553,0,0,103,103,27,101,128,0,0,0,0,0,0,0,3,110,0,0,27,0,0,0,0,0,0,0,4,0,0,2,0,2,0,23,170,170,170,12,5,236,25,0,1,0,0,0,0,0,0,6,6,8,15,15,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,26,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,122,122,5,122,122,0,1,133,133,133,8,133,2,0,0,0,0,0,40,0,0,0,0,1,,,
Douala,city in motion,N/A,N/A,N/A,N/A,3663000,N/A,N/A,Cameroon,CM,170,170,168,133,47,173,168,172,173,163,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,12,0,0,0,3,0,0,0,17,17,0,0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,3,1,4,2,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,2,0,1,1,1,25,8,0,2,5,0,5,0,0,0,0,5,0,5,0,17,0,0,0,0,0,0,0,0,3,3,3,3,6,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,0,0,17,2,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,2,5,5,0,0,5,5,5,2,5,0,0,0,0,0,0,2,0,0,0,0,0,,,
Dubai,"smart city,city in motion",81.1,89.2,90.9,71.1,2415000,6,43,United Arab Emirates,AE,92,48,151,17,161,54,100,24,4,109,43003,2,4,0,0,0,23,15,29,29,12,14,0,0,29,36,20,18,29,14,0,0,0,2,0,0,1,0,0,0,0,4,1,35,23,0,0,1200,1200,3304,1,0,0,398,2,0,0,616,617,0,0,0,0,0,0,35,15,261,205,203,210,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,66,0,0,28,28,29,29,29,27,79,621,1107,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,22,748,2,765,0,0,251,7,384,137,251,213,50,50,0,2,5,2,9,426,435,435,435,435,28,9,9,30,0,0,0,0,0,0,0,0,5,0,758,0,0,1209,17,5,434,434,434,1581,731,0,88,486,22,483,11,0,0,0,1444,9,487,75,1356,0,0,0,0,0,2025,47,47,467,467,214,426,559,5,5,5,5,5,5,5,43,496,0,0,269,0,0,0,0,0,0,2,34,0,1,69,0,9,0,213,885,886,886,131,56,1415,278,0,6,10,0,0,4,0,0,44,44,68,71,71,71,7,3,0,0,0,41,0,48,0,0,0,5,0,10,0,154,415,261,21,21,1,0,43,43,43,0,0,0,0,3,3,1,3,497,0,0,0,0,0,0,0,5,0,553,553,92,553,553,3,28,618,618,619,57,619,71,0,0,0,0,7,104,0,0,11,2,8,,,
